american society for biochemistry & molecular biology (asbmb)	American Society for Biochemistry & Molecular Biology (ASBMB)
brill	Brill
american association for cancer research (aacr)	American Association for Cancer Research (AACR)
intech	Intech
oxford journals	Oxford University Press (OUP)
taylor and francis group	Taylor & Francis
baishideng publishing group	Baishideng Publishing Group
de gruyter	Walter de Gruyter
crop science society of america	Crop Science Society of America
myjove corporation	MyJove Corporation
canadian center of science and education	Canadian Center of Science and Education
cambridge university press (cup)	Cambridge University Press (CUP)
springer nature	Springer
american society for clinical investigation	American Society for Clinical Investigation
japanese society of animal reproduction	Japanese Society of Animal Reproduction
ovid technologies (wolters kluwer health)	Wolters Kluwer
academic journals	Academic Journals
frontiers media	Frontiers
radiation research society	Radiation Research Society
plos	Public Library of Science (PLoS)
graphyonline publications pvt, ltd.	Graphyonline Publications PVT, Ltd.
smart science & technology llc	Smart Science and Technology
nace international	NACE International
scientific research publishing	Scientific Research Publishing
geological society of london	Geological Society of London
society for sociological science	Society for Sociological Science
sciendo (de gruyter)	Sciendo (De Gruyter)
elsevier	Elsevier
american society for pharmacology & experimental therapeutics (aspet)	American Society for Pharmacology & Experimental Therapeutics (ASPET)
routledge	Routledge
ios press	IOS Press
biomed central	BioMed Central
bioscientifica	Bioscientifica
na	NA
american society of civil engineers (asce)	American Society of Civil Engineers (ASCE)
pontificia universidad catolica de valparaiso	Elsevier
jmir publications	JMIR Publications
american society of animal science	American Society of Animal Science (ASAS)
mary ann liebert	Mary Ann Liebert
wageningen academic publishers	Wageningen Academic Publishers
frontiers	Frontiers
cambridge open	Cambridge University Press (CUP)
elife sciences publications	eLife Sciences Publications
oxford university press (oup)	Oxford University Press (OUP)
royal college of psychiatrists	Royal College of Psychiatrists
omics	OMICS Publishing Group
s. karger ag	Karger
optical society of america (osa)	Optical Society of America (OSA)
nordic association of occupational safety and health (norosh)	Nordic Association of Occupational Safety and Health (NOROSH)
oxford university press	Oxford University Press (OUP)
microbiology society	Microbiology Society
cogent (taylor & francis)	Cogent OA
wiley	Wiley
spandidos publications	Spandidos Publications
royal society of chemistry (rsc)	Royal Society of Chemistry (RSC)
international union of chrystallography	International Union of Crystallography (IUCr)
american association of immunologists	The American Association of Immunologists
japan society for occupational health	Japan Society for Occupational Health
pensoft publishers	Pensoft Publishers
lippincott williams & wilkins	Lippincott Williams & Wilkins
cogent oa	Cogent OA
copernicus publications	Copernicus Publications
dove	Taylor & Francis
macrothink institute	Macrothink Institute
the company of biologists	The Company of Biologists
ubiquity press	Ubiquity Press
bmj publishing group	BMJ
biomedcentral	BioMed Central
american society of nephrology (asn)	American Society of Nephrology (ASN)
mit press - journals	MIT Press - Journals
optical society of america/osa	Optical Society of America (OSA)
american chemical society (acs)	American Chemical Society (ACS)
brepols publishers	Brepols Publishers
dove medical press ltd.	Taylor & Francis
international union of crystallography	International Union of Crystallography
canadian science publishing	Canadian Science Publishing
scientific research publishing, inc,	Scientific Research Publishing
peerj	peerj
national academy of sciences	National Academy of Sciences
