publisher,doi,journal,eissn,issn,url,date_published,corr_author_org,oa_type,license,apc_currency,apc,apc_date_paid,source_file,Online Publication Date,Corresponding Author Email Domain,Journal Status
cup,10.1192/bjp.2019.60,British Journal of Psychiatry,1472-1465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-21T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/S0033291719000424,Psychological Medicine,1469-8978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-12T00:00:00Z,ki.se,Hybrid OA
cup,10.1192/bjo.2019.10,BJPsych Open,2056-4724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-04T00:00:00Z,ki.se,Gold OA
cup,10.1017/S1352465819000018,Behavioural and Cognitive Psychotherapy,1469-1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-15T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/S0144686X19001491,Ageing & Society,1469-1779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-28T00:00:00Z,hkr.se,Hybrid OA
cup,10.1557/jmr.2019.340,Journal of Materials Research,2044-5326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liu.se,Hybrid OA
cup,10.1017/S0269888919000080,Knowledge Engineering Review,1469-8005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-14T00:00:00Z,liu.se,Hybrid OA
cup,10.1017/S1041610219001480,International Psychogeriatrics,1741-203X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-31T00:00:00Z,regionostergotland.se,Hybrid OA
cup,10.1017/S0144686X19001259,Ageing & Society,1469-1779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-30T00:00:00Z,liu.se,Hybrid OA
cup,10.1017/bpp.2019.17,Behavioural Public Policy,2398-0648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-30T00:00:00Z,liu.se,Hybrid OA
cup,10.1017/aer.2019.51,The Aeronautical Journal,2059-6464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-05T00:00:00Z,liu.se,Hybrid OA
cup,10.1017/aer.2019.29,The Aeronautical Journal,2059-6464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liu.se,Hybrid OA
cup,10.1017/S1463423619000136,Primary Health Care Research & Development,1477-1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-01T00:00:00Z,telia.com,Gold OA
cup,10.1017/S0018246X19000694,Historical Journal,1469-5103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gmail.com,Hybrid OA
cup,10.15184/aqy.2019.99,Antiquity,1745-1744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-24T00:00:00Z,lnu.se,Hybrid OA
cup,10.15184/aqy.2019.186,Antiquity,1745-1744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lnu.se,Hybrid OA
cup,10.1017/S1360674319000285,English Language & Linguistics,1469-4379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-10T00:00:00Z,lnu.se,Hybrid OA
cup,10.1017/S0959774319000039,Cambridge Archaeological Journal,1474-0540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-18T00:00:00Z,bohuslansmuseum.se,Hybrid OA
cup,10.1017/S147355041900020X,International Journal of Astrobiology,1475-3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-03T00:00:00Z,ltu.se,Hybrid OA
cup,10.1017/S0143814X19000023,Journal of Public Policy,1469-7815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-18T00:00:00Z,ltu.se,Hybrid OA
cup,10.1017/S002205071900086X,Journal of Economic History,1471-6372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-15T00:00:00Z,ekh.lu.se,Hybrid OA
cup,10.1017/S0950268819002176,Epidemiology & Infection,1469-4409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-03T00:00:00Z,med.lu.se,Gold OA
cup,10.1017/S1463423619000884,Primary Health Care Research & Development,1477-1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-14T00:00:00Z,kronoberg.se,Gold OA
cup,10.1017/ssh.2019.42,Social Science History,1527-8034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-23T00:00:00Z,ekh.lu.se,Hybrid OA
cup,10.1017/S0922156519000542,Leiden Journal of International Law,1478-9698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-08T00:00:00Z,jur.lu.se,Hybrid OA
cup,10.1017/S1356186319000488,Journal of the Royal Asiatic Society,1474-0591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23T00:00:00Z,gmail.com,Hybrid OA
cup,10.1017/S1049096519001707,PS: Political Science & Politics,1537-5935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-11T00:00:00Z,gmail.com,Hybrid OA
cup,10.1017/S2040174419000631,Journal of Developmental Origins of Health and Disease,2040-1752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-24T00:00:00Z,med.lu.se,Hybrid OA
cup,10.1017/S0144686X19001284,Ageing & Society,1469-1779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-23T00:00:00Z,jur.lu.se,Hybrid OA
cup,10.1017/langcog.2019.35,Language and Cognition,1866-9859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-18T00:00:00Z,ling.lu.se,Hybrid OA
cup,10.1017/S0332586519000209,Nordic Journal of Linguistics,1502-4717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-10T00:00:00Z,ling.lu.se,Hybrid OA
cup,10.1017/S1743921319007312,Proceedings of the International Astronomical Union,1743-9221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,astro.lu.se,No OA
cup,10.1017/S1744137419000432,Journal of Institutional Economics,1744-1382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-12T00:00:00Z,nek.lu.se,Hybrid OA
cup,10.1017/S1743921319006689,Proceedings of the International Astronomical Union,1743-9221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,astro.lu.se,No OA
cup,10.1017/S1743921319006847,Proceedings of the International Astronomical Union,1743-9221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,astro.lu.se,No OA
cup,10.1017/qua.2019.48,Quaternary Research,1096-0287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-10T00:00:00Z,geol.lu.se,Hybrid OA
cup,10.1017/S0144686X19000941,Ageing & Society,1469-1779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-18T00:00:00Z,soch.lu.se,Hybrid OA
cup,10.1017/S0022050719000330,Journal of Economic History,1471-6372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-12T00:00:00Z,gmail.com,Hybrid OA
cup,10.1017/S0922156519000244,Leiden Journal of International Law,1478-9698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-17T00:00:00Z,rwi.lu.se,Hybrid OA
cup,"10.1017/jlr.2019.23
",Journal of Law and Religion,2163-3088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-15T00:00:00Z,jur.lu.se,Hybrid OA
cup,10.1017/S0033583519000039,Quarterly Reviews of Biophysics,1469-8994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-23T00:00:00Z,fkem1.lu.se,Hybrid OA
cup,10.1017/S0956793319000116,Rural History,1474-0656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ekh.lu.se,Hybrid OA
cup,10.1017/S0033583519000027,Quarterly Reviews of Biophysics,1469-8994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-13T00:00:00Z,fkem1.lu.se,Hybrid OA
cup,10.1017/S1360674319000091,English Language & Linguistics,1469-4379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-20T00:00:00Z,englund.lu.se,Hybrid OA
cup,10.1017/S0269889719000048,Science in Context,1474-0664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hist.lu.se,Hybrid OA
cup,10.1017/S0959774319000118,Cambridge Archaeological Journal,1474-0540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-05T00:00:00Z,semiotik.lu.se,Hybrid OA
cup,10.1017/S0034412519000027,Religious Studies,1469-901X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-07T00:00:00Z,fil.lu.se,Hybrid OA
cup,10.1017/aer.2019.75,The Aeronautical Journal,2059-6464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-08T00:00:00Z,mdh.se,Hybrid OA
cup,10.1017/dsj.2019.4,Design Science,2053-4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-11T00:00:00Z,mdh.se,Gold OA
cup,10.1017/S1752971919000125,International Theory,1752-9727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mau.se,Hybrid OA
cup,10.1017/S0142716419000559,Applied Psycholinguistics,1469-1817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,miun.se,Hybrid OA
cup,10.1192/bjo.2019.37,BJPsych Open,2056-4724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-27T00:00:00Z,regionorebrolan.se,Gold OA
cup,10.1192/bjo.2019.30,BJPsych Open,2056-4724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-17T00:00:00Z,oru.se,Gold OA
cup,10.1017/S0261143019000060,Popular Music,1474-0095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oru.se,Hybrid OA
cup,10.1017/ATSIP.2019.27,APSIPA Transactions on Signal and Information Processing,2048-7703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-20T00:00:00Z,gmail.com,Gold OA
cup,10.1017/jfm.2019.1038,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-07T00:00:00Z,gmail.com,Hybrid OA
cup,10.1017/jmo.2019.89,Journal of Management & Organization,1839-3527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-19T00:00:00Z,kth.se,Hybrid OA
cup,10.1017/jfm.2019.918,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-29T00:00:00Z,gmail.com,Hybrid OA
cup,10.1017/jfm.2019.897,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-09T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/jfm.2019.893,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-26T00:00:00Z,ita.br,Hybrid OA
cup,10.1017/jfm.2019.868,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-21T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/jfm.2019.838,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-25T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/S0032247419000652,Polar Record,1475-3057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-06T00:00:00Z,uis.no,Hybrid OA
cup,10.1017/S0032247419000603,Polar Record,1475-3057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-30T00:00:00Z,kth.se,Hybrid OA
cup,10.1017/jfm.2019.793,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-26T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/jfm.2019.794,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-06T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/jfm.2019.763,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-24T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/jfm.2019.722,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-18T00:00:00Z,gmail.com,Hybrid OA
cup,10.1017/jfm.2019.668,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-26T00:00:00Z,rs.tus.ac.jp,Hybrid OA
cup,10.1017/jfm.2019.583,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-13T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/jfm.2019.581,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-09T00:00:00Z,gmail.com,Hybrid OA
cup,10.1017/jfm.2019.566,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-14T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/jfm.2019.523,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-18T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/S0032247419000299,Polar Record,1475-3057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-13T00:00:00Z,gmail.com,Hybrid OA
cup,10.1017/jfm.2019.413,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-24T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/jfm.2019.375,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-15T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/S1351324919000226,Natural Language Engineering,1469-8110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hybrid OA
cup,10.1017/jfm.2019.326,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-24T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/jfm.2019.240,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-08T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/S1359135519000101,arq: Architectural Research Quarterly,1474-0516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arch.kth.se,Hybrid OA
cup,10.1112/S0025579319000147,Mathematika,2041-7942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-14T00:00:00Z,kth.se,Hybrid OA
cup,10.1017/jfm.2019.120,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-13T00:00:00Z,mech.kth.se,Hybrid OA
cup,10.1017/S0963548319000038,"Combinatorics, Probability and Computing",1469-2163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-22T00:00:00Z,math.kth.se,Hybrid OA
cup,10.1017/jfm.2019.27,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-11T00:00:00Z,ita.br,Hybrid OA
cup,10.1017/S0009840X19001483,Classical Review,1464-3561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-17T00:00:00Z,sh.se,Hybrid OA
cup,10.1017/S0047404519000459,Language in Society,1469-8013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-30T00:00:00Z,sh.se,Hybrid OA
cup,10.1017/S2045796019000210,Epidemiology and Psychiatric Sciences,2045-7979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-14T00:00:00Z,gmail.com,Gold OA
cup,10.1017/S1755773919000377,European Political Science Review,1755-7747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-27T00:00:00Z,statsvet.su.se,Hybrid OA
cup,10.1017/aee.2019.27,Australian Journal of Environmental Education,2049-775X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-26T00:00:00Z,buv.su.se,Hybrid OA
cup,10.1017/S0003975619000171,European Journal of Sociology / Archives Européennes de Sociologie,1474-0583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sociology.su.se,Hybrid OA
cup,10.1017/S0953820819000566,Utilitas,1741-6183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iffs.se,Hybrid OA
cup,10.1017/nws.2019.54,Network Science,2050-1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hotmail.com,Hybrid OA
cup,10.1017/sus.2019.18,Global Sustainability,2059-4798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-13T00:00:00Z,su.se,Gold OA
cup,10.1112/S0010437X19007747,Compositio Mathematica,1570-5846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-20T00:00:00Z,math.su.se,Hybrid OA
cup,10.1017/S1574019619000361,European Constitutional Law Review,1744-5515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-25T00:00:00Z,juridicum.su.se,Hybrid OA
cup,10.1017/S0007123419000620,British Journal of Political Science,1469-2112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,statsvet.su.se,Hybrid OA
cup,10.1017/S1537592719003736,Perspectives on Politics,1541-0986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,statsvet.su.se,Hybrid OA
cup,10.1017/sus.2019.13,Global Sustainability,2059-4798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-04T00:00:00Z,gmail.com,Gold OA
cup,10.1017/S1743921319007130,Proceedings of the International Astronomical Union,1743-9221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fysik.su.se,No OA
cup,10.1017/S153759271900358X,Perspectives on Politics,1541-0986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,statsvet.su.se,Hybrid OA
cup,10.1017/S004740451900071X,Language in Society,1469-8013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-23T00:00:00Z,dsv.su.se,Hybrid OA
cup,10.1017/epi.2019.22,Episteme,1750-0117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-28T00:00:00Z,philosophy.su.se,Hybrid OA
cup,10.1017/S147474801900032X,Journal of the Institute of Mathematics of Jussieu,1475-3030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-13T00:00:00Z,math.su.se,Hybrid OA
cup,10.1017/sus.2019.5,Global Sustainability,2059-4798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-03T00:00:00Z,su.se,Gold OA
