Publisher,DOI,Journal,eISSN,ISSN,URL,Date_published,Corresponding_author_organization,Open_access_type,License_type,Apc_currency,Apc_paid,Apc_date_paid,Comments,Source_file
Frontiers Media,10.3389/fmicb.2018.02945,"Frontiers in Microbiology, Section ""Microbiotechnology, Ecotoxicology and Bioremediation""",,,http://journal.frontiersin.org/article/418831,2018-12-05,LuleÜ University of Technology,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fphar.2018.01437,"Frontiers in Pharmacology, Section ""Pharmacogenetics and Pharmacogenomics""",,,http://journal.frontiersin.org/article/417781,2018-12-04,Karolinska Institutet,Gold,CC BY,USD,1904.85,2018-12-20,,FRONT2019JAN
Frontiers Media,10.3389/fevo.2018.00208,"Frontiers in Ecology and Evolution, Section ""Behavioral and Evolutionary Ecology""",,,http://journal.frontiersin.org/article/394353,2018-12-04,LuleÜ University of Technology,Gold,CC BY,USD,1539,,,FRONT2019JAN
Frontiers Media,10.3389/fpsyg.2018.02344,"Frontiers in Psychology, Section ""Environmental Psychology""",,,http://journal.frontiersin.org/article/343957,2018-12-04,Stockholm University,Gold,CC BY,USD,1665,,,FRONT2019JAN
Frontiers Media,10.3389/fnbeh.2018.00299,Frontiers in Behavioral Neuroscience,,,http://journal.frontiersin.org/article/419878,2018-12-03,Lund University,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fenrg.2018.00132,"Frontiers in Energy Research, Section ""Bioenergy and Biofuels""",,,http://journal.frontiersin.org/article/406574,2018-12-03,Swedish University of Agricultural Sciences,Gold,CC BY,USD,1539,2018-12-21,,FRONT2019JAN
Frontiers Media,10.3389/fpls.2018.01700,"Frontiers in Plant Science, Section ""Evolutionary and Population Genetics""",,,http://journal.frontiersin.org/article/408949,2018-12-03,University of Gothenburg,Gold,CC BY,USD,1453.5,,,FRONT2019JAN
Frontiers Media,10.3389/fonc.2018.00570,"Frontiers in Oncology, Section ""Cancer Immunity and Immunotherapy""",,,http://journal.frontiersin.org/article/420495,2018-12-03,University of Gothenburg,Gold,CC BY,USD,1710,,,FRONT2019JAN
Frontiers Media,10.3389/fneur.2018.01042,"Frontiers in Neurology, Section ""Stroke""",,,http://journal.frontiersin.org/article/422806,2018-12-03,University of Gothenburg,Gold,CC BY,USD,2241,,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.02926,"Frontiers in Microbiology, Section ""Aquatic Microbiology""",,,http://journal.frontiersin.org/article/391991,2018-11-30,UmeÜ University,Gold,CC BY,USD,2507.5,2018-12-28,,FRONT2019JAN
Frontiers Media,10.3389/fpsyg.2018.02400,"Frontiers in Psychology, Section ""Clinical and Health Psychology""",,,http://journal.frontiersin.org/article/423568,2018-11-29,Linkîping University,Gold,CC BY,USD,2655,2018-11-27,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.00796,"Frontiers in Physiology, Section ""Exercise Physiology""",,,http://journal.frontiersin.org/article/390063,2018-07-02,Mid Sweden University,Gold,CC BY,USD,1850,2018-07-10,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02648,"Frontiers in Immunology, Section ""Inflammation""",,,http://journal.frontiersin.org/article/424503,2018-11-27,Karolinska Institutet,Gold,CC BY,USD,2950,2018-12-05,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.02880,"Frontiers in Microbiology, Section ""Extreme Microbiology""",,,http://journal.frontiersin.org/article/424291,2018-11-27,LuleÜ University of Technology,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.02927,"Frontiers in Microbiology, Section ""Antimicrobials, Resistance and Chemotherapy""",,,http://journal.frontiersin.org/article/429454,2018-11-27,Stockholm University,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fpsyg.2018.02340,"Frontiers in Psychology, Section ""Clinical and Health Psychology""",,,http://journal.frontiersin.org/article/419949,2018-11-27,UmeÜ University,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fnhum.2018.00465,Frontiers in Human Neuroscience,,,http://journal.frontiersin.org/article/390105,2018-11-26,Karolinska Institutet,Gold,CC BY,USD,2950,2018-12-05,,FRONT2019JAN
Frontiers Media,10.3389/fendo.2018.00689,"Frontiers in Endocrinology, Section ""Cancer Endocrinology""",,,http://journal.frontiersin.org/article/413631,2018-11-22,Lund University,Gold,CC BY,USD,2241,,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.02844,"Frontiers in Microbiology, Section ""Plant Microbe Interactions""",,,http://journal.frontiersin.org/article/410070,2018-11-22,Swedish University of Agricultural Sciences,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fphar.2018.01327,"Frontiers in Pharmacology, Section ""Inflammation Pharmacology""",,,http://journal.frontiersin.org/article/428063,2018-11-20,Karolinska Institutet,Gold,CC BY,USD,1035,2018-11-28,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02667,"Frontiers in Immunology, Section ""Mucosal Immunity""",,,http://journal.frontiersin.org/article/411784,2018-11-20,Karolinska Institutet,Gold,CC BY,USD,2389.5,2018-11-28,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.00570,"Frontiers in Physiology, Section ""Exercise Physiology""",,,http://journal.frontiersin.org/article/353064,2018-05-17,Mid Sweden University,Gold,CC BY,USD,1058.25,2018-06-01,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.00506,"Frontiers in Physiology, Section ""Exercise Physiology""",,,http://journal.frontiersin.org/article/368621,2018-05-15,Mid Sweden University,Gold,CC BY,USD,2950,2018-05-23,,FRONT2019JAN
Frontiers Media,10.3389/fpsyt.2018.00595,"Frontiers in Psychiatry, Section ""Addictive Disorders""",,,http://journal.frontiersin.org/article/397232,2018-11-19,Uppsala University,Gold,CC BY,USD,2016.9,2018-11-06,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.01583,"Frontiers in Physiology, Section ""Reproduction""",,,http://journal.frontiersin.org/article/417496,2018-11-16,Lund University,Gold,CC BY,USD,2389.5,,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.01596,"Frontiers in Physiology, Section ""Oxidant Physiology""",,,http://journal.frontiersin.org/article/403888,2018-11-16,Lund University,Gold,CC BY,USD,2389.5,,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02673,"Frontiers in Immunology, Section ""Immunological Memory""",,,http://journal.frontiersin.org/article/386243,2018-11-16,University of Gothenburg,Gold,CC BY,USD,1665,,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.02746,"Frontiers in Microbiology, Section ""Infectious Diseases""",,,http://journal.frontiersin.org/article/420017,2018-11-15,Lund University,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.00423,"Frontiers in Physiology, Section ""Exercise Physiology""",,,http://journal.frontiersin.org/article/330891,2018-05-09,Mid Sweden University,Gold,CC BY,USD,1000,2018-05-08,,FRONT2019JAN
Frontiers Media,10.3389/fneur.2018.00975,"Frontiers in Neurology, Section ""Neurodegeneration""",,,http://journal.frontiersin.org/article/412560,2018-11-15,University of Gothenburg,Gold,CC BY,USD,2241,,,FRONT2019JAN
Frontiers Media,10.3389/fpls.2018.01629,"Frontiers in Plant Science, Section ""Plant Development and EvoDevo""",,,http://journal.frontiersin.org/article/413274,2018-11-14,Stockholm University,Gold,CC BY,USD,1904.85,,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.01606,"Frontiers in Physiology, Section ""Invertebrate Physiology""",,,http://journal.frontiersin.org/article/412687,2018-11-14,Swedish University of Agricultural Sciences,Gold,CC BY,USD,0,,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02600,"Frontiers in Immunology, Section ""Multiple Sclerosis and Neuroimmunology""",,,http://journal.frontiersin.org/article/417851,2018-11-13,Karolinska Institutet,Gold,CC BY,USD,1665,2018-11-21,,FRONT2019JAN
Frontiers Media,10.3389/fpsyg.2018.02184,"Frontiers in Psychology, Section ""Clinical and Health Psychology""",,,http://journal.frontiersin.org/article/413913,2018-11-13,Lund University,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fpsyg.2018.01632,"Frontiers in Psychology, Section ""Cognition""",,,http://journal.frontiersin.org/article/380953,2018-11-13,Stockholm University,Gold,CC BY,USD,2389.5,,,FRONT2019JAN
Frontiers Media,10.3389/fmars.2018.00408,"Frontiers in Marine Science, Section ""Marine Ecosystem Ecology""",,,http://journal.frontiersin.org/article/391270,2018-11-13,Stockholm University,Gold,CC BY,USD,1539,,,FRONT2019JAN
Frontiers Media,10.3389/fpls.2018.01625,"Frontiers in Plant Science, Section ""Plant Development and EvoDevo""",,,http://journal.frontiersin.org/article/408314,2018-11-13,Swedish University of Agricultural Sciences,Gold,CC BY,USD,1904.85,2018-10-19,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.02681,"Frontiers in Microbiology, Section ""Extreme Microbiology""",,,http://journal.frontiersin.org/article/411567,2018-11-12,Lund University,Gold,CC BY,USD,2389.5,,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02569,"Frontiers in Immunology, Section ""T Cell Biology""",,,http://journal.frontiersin.org/article/418646,2018-11-09,Linkîping University,Gold,CC BY,USD,2655,2018-11-21,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.02605,"Frontiers in Microbiology, Section ""Microbial Physiology and Metabolism""",,,http://journal.frontiersin.org/article/408370,2018-11-07,UmeÜ University,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fphar.2018.01256,"Frontiers in Pharmacology, Section ""Experimental Pharmacology and Drug Discovery""",,,http://journal.frontiersin.org/article/411849,2018-11-06,Uppsala University,Gold,CC BY,USD,1904.85,2018-10-25,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02530,"Frontiers in Immunology, Section ""Microbial Immunology""",,,http://journal.frontiersin.org/article/417679,2018-11-05,Lund University,Gold,CC BY,USD,2389.5,,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.02279,"Frontiers in Microbiology, Section ""Terrestrial Microbiology""",,,http://journal.frontiersin.org/article/404813,2018-11-02,Lund University,Gold,CC BY,USD,1665,,,FRONT2019JAN
Frontiers Media,10.3389/fonc.2018.00485,"Frontiers in Oncology, Section ""Cancer Epidemiology and Prevention""",,,http://journal.frontiersin.org/article/412967,2018-10-31,Karolinska Institutet,Gold,CC BY,USD,1154.25,2018-11-08,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.01515,"Frontiers in Physiology, Section ""Computational Physiology and Medicine""",,,http://journal.frontiersin.org/article/394365,2018-10-30,Linkîping University,Gold,CC BY,USD,2655,2018-10-30,,FRONT2019JAN
Frontiers Media,10.3389/fpls.2018.01553,"Frontiers in Plant Science, Section ""Plant Microbe Interactions""",,,http://journal.frontiersin.org/article/403299,2018-10-26,Swedish University of Agricultural Sciences,Gold,CC BY,USD,2655,2018-10-12,,FRONT2019JAN
Frontiers Media,10.3389/fnsyn.2018.00037,Frontiers in Synaptic Neuroscience,,,http://journal.frontiersin.org/article/419761,2018-10-24,Karolinska Institutet,Gold,CC BY,USD,1710,2018-11-23,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02237,"Frontiers in Immunology, Section ""Molecular Innate Immunity""",,,http://journal.frontiersin.org/article/412669,2018-10-24,Uppsala University,Gold,CC BY,USD,2389.5,2018-10-12,,FRONT2019JAN
Frontiers Media,10.3389/fpls.2018.01537,"Frontiers in Plant Science, Section ""Plant Biotechnology""",,,http://journal.frontiersin.org/article/413848,2018-10-23,Swedish University of Agricultural Sciences,Gold,CC BY,USD,1035,2018-10-31,,FRONT2019JAN
Frontiers Media,10.3389/fpsyg.2018.01995,"Frontiers in Psychology, Section ""Cognition""",,,http://journal.frontiersin.org/article/396470,2018-10-22,Lund University,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fendo.2018.00612,"Frontiers in Endocrinology, Section ""Cancer Endocrinology""",,,http://journal.frontiersin.org/article/408475,2018-10-16,Linkîping University,Gold,CC BY,USD,2016.9,,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02387,"Frontiers in Immunology, Section ""Comparative Immunology""",,,http://journal.frontiersin.org/article/394903,2018-10-16,Uppsala University,Gold,CC BY,USD,2389.5,2018-10-30,,FRONT2019JAN
Frontiers Media,10.3389/fonc.2018.00428,"Frontiers in Oncology, Section ""Cancer Epidemiology and Prevention""",,,http://journal.frontiersin.org/article/408724,2018-10-12,Lund University,Gold,CC BY,USD,1710,,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.01450,"Frontiers in Physiology, Section ""Striated Muscle Physiology""",,,http://journal.frontiersin.org/article/412380,2018-10-12,ôrebro University,Gold,CC BY,USD,0,,,FRONT2019JAN
Frontiers Media,10.3389/fmars.2018.00361,"Frontiers in Marine Science, Section ""Marine Ecosystem Ecology""",,,http://journal.frontiersin.org/article/392785,2018-10-10,LuleÜ University of Technology,Gold,CC BY,USD,1539,,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.01424,"Frontiers in Physiology, Section ""Striated Muscle Physiology""",,,http://journal.frontiersin.org/article/410500,2018-10-09,Uppsala University,Gold,CC BY,USD,2655,2018-09-20,,FRONT2019JAN
Frontiers Media,10.3389/fgene.2018.00452,"Frontiers in Genetics, Section ""Epigenomics and Epigenetics""",,,http://journal.frontiersin.org/article/411289,2018-10-08,Karolinska Institutet,Gold,CC BY,USD,630,2018-10-18,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02193,"Frontiers in Immunology, Section ""Molecular Innate Immunity""",,,http://journal.frontiersin.org/article/387366,2018-10-05,Karolinska Institutet,Gold,CC BY,USD,2655,2018-10-05,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.00082,"Frontiers in Physiology, Section ""Exercise Physiology""",,,http://journal.frontiersin.org/article/285300,2018-02-08,Mid Sweden University,Gold,CC BY,USD,2490,2018-02-26,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02288,"Frontiers in Immunology, Section ""Inflammation""",,,http://journal.frontiersin.org/article/390453,2018-10-04,Uppsala University,Gold,CC BY,USD,2655,2018-10-16,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.02358,"Frontiers in Microbiology, Section ""Virology""",,,http://journal.frontiersin.org/article/414218,2018-10-02,Karolinska Institutet,Gold,CC BY,USD,2389.5,2018-10-19,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02242,"Frontiers in Immunology, Section ""Autoimmune and Autoinflammatory Disorders""",,,http://journal.frontiersin.org/article/407732,2018-10-02,Linkîping University,Gold,CC BY,USD,2655,2018-10-09,,FRONT2019JAN
Frontiers Media,10.3389/fnbot.2018.00028,Frontiers in Neurorobotics,,,http://journal.frontiersin.org/article/358182,2018-06-06,MÑlardalen University,Gold,CC BY,USD,2655,2018-07-03,,FRONT2019JAN
Frontiers Media,10.3389/fpsyg.2018.01794,"Frontiers in Psychology, Section ""Movement Science and Sport Psychology""",,,http://journal.frontiersin.org/article/399566,2018-10-01,Karolinska Institutet,Gold,CC BY,USD,2950,2018-10-04,,FRONT2019JAN
Frontiers Media,10.3389/fpsyg.2018.01849,"Frontiers in Psychology, Section ""Quantitative Psychology and Measurement""",,,http://journal.frontiersin.org/article/351990,2018-10-01,Karolinska Institutet,Gold,CC BY,USD,1850,2018-10-11,,FRONT2019JAN
Frontiers Media,10.3389/fvets.2018.00234,"Frontiers in Veterinary Science, Section ""Animal Behavior and Welfare""",,,http://journal.frontiersin.org/article/382904,2018-10-01,Swedish University of Agricultural Sciences,Gold,CC BY,USD,1539,2018-10-12,,FRONT2019JAN
Frontiers Media,10.3389/fonc.2018.00407,"Frontiers in Oncology, Section ""Molecular and Cellular Oncology""",,,http://journal.frontiersin.org/article/404819,2018-09-28,Karolinska Institutet,Gold,CC BY,USD,1710,2018-10-09,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.02308,"Frontiers in Microbiology, Section ""Microbiotechnology, Ecotoxicology and Bioremediation""",,,http://journal.frontiersin.org/article/408106,2018-09-28,LuleÜ University of Technology,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fncel.2018.00323,Frontiers in Cellular Neuroscience,,,http://journal.frontiersin.org/article/403531,2018-09-27,Lund University,Gold,CC BY,USD,2389.5,,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02215,"Frontiers in Immunology, Section ""T Cell Biology""",,,http://journal.frontiersin.org/article/411677,2018-09-27,Lund University,Gold,CC BY,USD,1665,,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.01365,"Frontiers in Physiology, Section ""Invertebrate Physiology""",,,http://journal.frontiersin.org/article/413053,2018-09-27,Lund University,Gold,CC BY,USD,2389.5,,,FRONT2019JAN
Frontiers Media,10.3389/fpsyg.2018.01872,"Frontiers in Psychology, Section ""Cognition""",,,http://journal.frontiersin.org/article/412226,2018-09-27,UmeÜ University,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02174,"Frontiers in Immunology, Section ""Microbial Immunology""",,,http://journal.frontiersin.org/article/378452,2018-09-26,Karolinska Institutet,Gold,CC BY,USD,2389.5,2018-10-03,,FRONT2019JAN
Frontiers Media,10.3389/fpls.2018.01357,"Frontiers in Plant Science, Section ""Functional Plant Ecology""",,,http://journal.frontiersin.org/article/390393,2018-09-26,Swedish University of Agricultural Sciences,Gold,CC BY,USD,0,,,FRONT2019JAN
Frontiers Media,10.3389/fpsyt.2018.00452,"Frontiers in Psychiatry, Section ""Forensic Psychiatry""",,,http://journal.frontiersin.org/article/409112,2018-09-25,Karolinska Institutet,Gold,CC BY,USD,0,,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02159,"Frontiers in Immunology, Section ""Cytokines and Soluble Mediators in Immunity""",,,http://journal.frontiersin.org/article/402002,2018-09-25,Karolinska Institutet,Gold,CC BY,USD,1850,2018-10-05,,FRONT2019JAN
Frontiers Media,10.3389/feduc.2018.00081,"Frontiers in Education, Section ""Assessment, Testing and Applied Measurement""",,,http://journal.frontiersin.org/article/384702,2018-09-25,Kristianstad University,Gold,CC BY,USD,630,2018-09-04,,FRONT2019JAN
Frontiers Media,10.3389/fneur.2018.00979,"Frontiers in Neurology, Section ""Neuro-Otology""",,,http://journal.frontiersin.org/article/424992,2018-11-19,University of Gothenburg,Gold,CC BY,USD,2241,2019-01-02,,FRONT2019JAN
Frontiers Media,10.3389/fpls.2018.01410,"Frontiers in Plant Science, Section ""Plant Development and EvoDevo""",,,http://journal.frontiersin.org/article/411407,2018-09-25,Uppsala University,Gold,CC BY,USD,1904.85,2018-10-09,,FRONT2019JAN
Frontiers Media,10.3389/fmars.2018.00415,"Frontiers in Marine Science, Section ""Coastal Ocean Processes""",,,http://journal.frontiersin.org/article/379848,2018-11-15,Swedish Meteorological and Hydrological Institute,Gold,CC BY,USD,1710,2018-11-20,,FRONT2019JAN
Frontiers Media,10.3389/frobt.2018.00107,"Frontiers in Robotics and AI, Section ""Vision Systems Theory, Tools and Applications""",,,http://journal.frontiersin.org/article/412074,2018-09-19,Swedish University of Agricultural Sciences,Gold,CC BY,USD,1035,2018-09-28,,FRONT2019JAN
Frontiers Media,10.3389/fnmol.2018.00329,Frontiers in Molecular Neuroscience,,,http://journal.frontiersin.org/article/384654,2018-09-19,University of Gothenburg,Gold,CC BY,USD,1665,,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.02364,"Frontiers in Microbiology, Section ""Aquatic Microbiology""",,,http://journal.frontiersin.org/article/405283,2018-10-02,Swedish Defence Research Agency,Gold,CC BY,USD,2950,2018-10-17,,FRONT2019JAN
Frontiers Media,10.3389/fpsyg.2018.01641,"Frontiers in Psychology, Section ""Cognition""",,,http://journal.frontiersin.org/article/349241,2018-09-18,University of Gothenburg,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fnmol.2018.00327,Frontiers in Molecular Neuroscience,,,http://journal.frontiersin.org/article/392815,2018-09-13,Karolinska Institutet,Gold,CC BY,USD,2389.5,2018-09-24,,FRONT2019JAN
Frontiers Media,10.3389/fncir.2018.00073,Frontiers in Neural Circuits,,,http://journal.frontiersin.org/article/408102,2018-09-13,Karolinska Institutet,Gold,CC BY,USD,2655,2018-10-02,,FRONT2019JAN
Frontiers Media,10.3389/fpsyg.2018.01623,"Frontiers in Psychology, Section ""Personality and Social Psychology""",,,http://journal.frontiersin.org/article/367181,2018-09-13,Lund University,Gold,CC BY,USD,2950,2018-09-21,,FRONT2019JAN
