doi	Institution	Journal Title	Journal Discipline	Journal ISSN	Journal eISSN	Year
10.1007/s12053-017-9528-1	Linköping University	Energy Efficiency	Engineering	1570-646X	1570-6478	2017
10.1007/s00125-017-4308-1	Lund University	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2017
10.1007/s11165-016-9593-z	Uppsala University	Research in Science Education	Education	0157-244X	1573-1898	2017
10.1007/s11096-017-0488-5	Umea University	International Journal of Clinical Pharmacy	Medicine & Public Health	2210-7703	2210-7711	2017
10.1007/s11127-017-0458-4	Lund University	Public Choice	Economics	0048-5829	1573-7101	2017
10.1007/s11270-017-3392-7	Swedish University of Agricultural Sciences	"Water, Air, & Soil Pollution"	Environment	0049-6979	1573-2932	2017
10.1007/s10843-017-0201-8	Halmstad University	Journal of International Entrepreneurship	Business and Management	1570-7385	1573-7349	2017
10.1007/s12155-017-9836-5	Swedish University of Agricultural Sciences	BioEnergy Research	Life Sciences	1939-1234	1939-1242	2017
10.1007/s11071-017-3560-8	Blekinge Institute of Technology	Nonlinear Dynamics	Engineering	0924-090X	1573-269X	2017
10.1007/s12117-017-9310-y	Stockholm University	Trends in Organized Crime	Criminology and Criminal Justice	1084-4791	1936-4830	2017
10.1007/s11102-017-0811-0	University of Gothenburg	Pituitary	Medicine & Public Health	1386-341X	1573-7403	2017
10.1007/s11120-017-0400-0	Umea University	Photosynthesis Research	Life Sciences	0166-8595	1573-5079	2017
10.1007/s00148-017-0648-x	Linnaeus University	Journal of Population Economics	Economics	0933-1433	1432-1475	2017
10.1007/s11085-017-9782-9	Chalmers University of Technology	Oxidation of Metals	Materials Science	0030-770X	1573-4889	2017
10.1007/s11191-017-9895-1	Uppsala University	Science & Education	Education	0926-7220	1573-1901	2017
10.1007/s10549-017-4306-5	Lund University	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2017
10.1007/s00251-017-0993-7	Lund University	Immunogenetics	Biomedicine	0093-7711	1432-1211	2017
10.1007/s10776-017-0357-0	Mid Sweden University	International Journal of Wireless Information Networks	Engineering	1068-9605	1572-8129	2017
10.1007/s11356-017-9245-5	Lund University	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2017
10.1007/s11116-017-9781-3	Karlstad University	Transportation	Economics	0049-4488	1572-9435	2017
10.1007/s00020-017-2378-6	Umea University	Integral Equations and Operator Theory	Mathematics	0378-620X	1420-8989	2017
10.1007/s40266-017-0469-3	Karolinska Institute	Drugs & Aging	Medicine & Public Health	1170-229X	1179-1969	2017
10.1007/s11422-016-9794-9	Stockholm University	Cultural Studies of Science Education	Education	1871-1502	1871-1510	2017
10.1007/s41465-017-0028-1	Linköping University	Journal of Cognitive Enhancement	Psychology	2509-3290	2509-3304	2017
10.1007/s13752-017-0265-7	Karolinska Institute	Biological Theory	Philosophy	1555-5542	1555-5550	2017
10.1007/s00253-017-8310-9	Chalmers University of Technology	Applied Microbiology and Biotechnology	Life Sciences	0175-7598	1432-0614	2017
10.1007/s10389-017-0809-0	Karlstad University	Journal of Public Health	Medicine & Public Health	2198-1833	1613-2238	2017
10.1007/s40136-017-0152-6	Lund University	Current Otorhinolaryngology Reports	Medicine & Public Health		2167-583X	2017
10.1007/s10849-017-9252-4	Lund University	"Journal of Logic, Language and Information"	Philosophy	0925-8531	1572-9583	2017
10.1007/s10549-017-4294-5	Uppsala University	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2017
10.1007/s10940-017-9355-8	Lund University	Journal of Quantitative Criminology	Criminology and Criminal Justice	0748-4518	1573-7799	2017
10.1007/s00383-017-4093-4	Karolinska Institute	Pediatric Surgery International	Medicine & Public Health	0179-0358	1437-9813	2017
10.1007/s11306-017-1213-z	Uppsala University	Metabolomics	Life Sciences	1573-3882	1573-3890	2017
10.1007/s00484-017-1363-8	Umea University	International Journal of Biometeorology	Environment	0020-7128	1432-1254	2017
10.1007/s10198-017-0895-5	Lund University	The European Journal of Health Economics	Medicine & Public Health	1618-7598	1618-7601	2017
10.1007/s11249-017-0864-2	Lulea University of Technology	Tribology Letters	Materials Science	1023-8883	1573-2711	2017
10.1007/s10586-017-0912-6	Blekinge Institute of Technology	Cluster Computing	Computer Science	1386-7857	1573-7543	2017
10.1007/s11858-017-0867-3	Umea University	ZDM	Education	1863-9690	1863-9704	2017
10.1007/s10488-017-0806-1	University of Gävle	Administration and Policy in Mental Health and Mental Health Services Research	Medicine & Public Health	0894-587X	1573-3289	2017
10.1007/s41549-017-0016-7	Örebro University	Journal of Business Cycle Research	Economics	2509-7962	2509-7970	2017
10.1007/s11056-017-9589-1	Swedish University of Agricultural Sciences	New Forests	Life Sciences	0169-4286	1573-5095	2017
10.1007/s00466-017-1419-y	Chalmers University of Technology	Computational Mechanics	Engineering	0178-7675	1432-0924	2017
10.1007/s11095-017-2174-7	Uppsala University	Pharmaceutical Research	Biomedicine	0724-8741	1573-904X	2017
10.1007/s10096-017-2990-z	University of Gothenburg	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2017
10.1007/s11005-017-0961-z	Lund University	Letters in Mathematical Physics	Physics	0377-9017	1573-0530	2017
10.1007/s13593-017-0426-x	Uppsala University	Agronomy for Sustainable Development	Life Sciences	1774-0746	1773-0155	2017
10.1007/s00161-017-0573-y	Royal Institute of Technology	Continuum Mechanics and Thermodynamics	Physics	0935-1175	1432-0959	2017
10.1007/s00442-017-3878-4	Swedish University of Agricultural Sciences	Oecologia	Life Sciences	0029-8549	1432-1939	2017
10.1007/s00431-017-2917-9	Karolinska Institute	European Journal of Pediatrics	Medicine & Public Health	0340-6199	1432-1076	2017
10.1007/s11666-017-0555-4	University West	Journal of Thermal Spray Technology	Materials Science	1059-9630	1544-1016	2017
10.1007/s40799-017-0183-4	Royal Institute of Technology	Experimental Techniques	Materials Science	0732-8818	1747-1567	2017
10.1007/s11113-017-9437-1	Stockholm University	Population Research and Policy Review	Social Sciences	0167-5923	1573-7829	2017
10.1007/s10841-017-9985-z	Linnaeus University	Journal of Insect Conservation	Life Sciences	1366-638X	1572-9753	2017
10.1007/s10584-017-1977-1	Swedish University of Agricultural Sciences	Climatic Change	Earth Sciences	0165-0009	1573-1480	2017
10.1007/s00359-017-1171-y	Lund University	Journal of Comparative Physiology A	Life Sciences	0340-7594	1432-1351	2017
10.1007/s00591-017-0192-5	Uppsala University	Mathematische Semesterberichte	Mathematics	0720-728X	1432-1815	2017
10.1007/s10682-017-9901-8	Stockholm University	Evolutionary Ecology	Life Sciences	0269-7653	1573-8477	2017
10.1007/s00125-017-4286-3	Lund University	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2017
10.1007/s00420-017-1227-x	Umea University	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2017
10.1007/s10877-017-0021-3	Karolinska Institute	Journal of Clinical Monitoring and Computing	Medicine & Public Health	1387-1307	1573-2614	2017
10.1007/s00362-017-0911-y	Lund University	Statistical Papers	Statistics	0932-5026	1613-9798	2017
10.1007/s00187-017-0248-7	Karlstad University	Journal of Management Control	Business and Management	2191-4761	2191-477X	2017
10.1007/s10750-017-3217-0	Karlstad University	Hydrobiologia	Life Sciences	0018-8158	1573-5117	2017
10.1007/s10029-017-1617-8	Umea University	Hernia	Medicine & Public Health	1265-4906	1248-9204	2017
10.1007/s13644-017-0294-5	Linnaeus University	Review of Religious Research	Social Sciences	0034-673X	2211-4866	2017
10.1007/s12155-017-9841-8	Lund University	BioEnergy Research	Life Sciences	1939-1234	1939-1242	2017
10.1007/s10597-017-0146-3	Stockholm University	Community Mental Health Journal	Medicine & Public Health	0010-3853	1573-2789	2017
10.1007/s10957-017-1114-3	Uppsala University	Journal of Optimization Theory and Applications	Mathematics	0022-3239	1573-2878	2017
10.1007/s11242-017-0866-4	Lund University	Transport in Porous Media	Earth Sciences	0169-3913	1573-1634	2017
10.1007/s11277-017-4205-4	Royal Institute of Technology	Wireless Personal Communications	Engineering	0929-6212	1572-834X	2017
10.1007/s10468-017-9696-x	Blekinge Institute of Technology	Algebras and Representation Theory	Mathematics	1386-923X	1572-9079	2017
10.1007/s00223-017-0283-2	University of Gothenburg	Calcified Tissue International	Life Sciences	0171-967X	1432-0827	2017
10.1007/s10198-017-0894-6	Karolinska Institute	The European Journal of Health Economics	Medicine & Public Health	1618-7598	1618-7601	2017
10.1007/s10439-017-1847-z	Karolinska Institute	Annals of Biomedical Engineering	Biomedicine	0090-6964	1573-9686	2017
10.1007/s40136-017-0151-7	Karolinska Institute	Current Otorhinolaryngology Reports	Medicine & Public Health		2167-583X	2017
10.1007/s00221-017-4948-x	Karolinska Institute	Experimental Brain Research	Biomedicine	0014-4819	1432-1106	2017
10.1007/s10458-017-9365-9	Royal Institute of Technology	Autonomous Agents and Multi-Agent Systems	Computer Science	1387-2532	1573-7454	2017
10.1007/s00161-017-0569-7	Royal Institute of Technology	Continuum Mechanics and Thermodynamics	Physics	0935-1175	1432-0959	2017
10.1007/s11745-017-4256-z	Karolinska Institute	Lipids	Life Sciences	0024-4201	1558-9307	2017
10.1007/s00216-017-0380-0	Lund University	Analytical and Bioanalytical Chemistry	Chemistry	1618-2642	1618-2650	2017
10.1007/s11590-017-1146-5	Lund University	Optimization Letters	Mathematics	1862-4472	1862-4480	2017
10.1007/s10231-017-0659-y	Royal Institute of Technology	Annali di Matematica Pura ed Applicata (1923 -)	Mathematics	0373-3114	1618-1891	2017
10.1007/s12551-017-0265-7	Karolinska Institute	Biophysical Reviews	Life Sciences	1867-2450	1867-2469	2017
10.1007/s10910-017-0752-x	Royal Institute of Technology	Journal of Mathematical Chemistry	Chemistry	0259-9791	1572-8897	2017
10.1007/s11187-017-9871-9	Lund University	Small Business Economics	Business and Management	0921-898X	1573-0913	2017
10.1007/s10663-017-9375-5	Kristianstad University	Empirica	Economics	0340-8744	1573-6911	2017
10.1007/s12129-017-9628-6	University of Boras	Academic Questions	Education	0895-4852	1936-4709	2017
10.1007/s12542-017-0345-9	Lund University	PalZ	Earth Sciences	0031-0220	1867-6812	2017
10.1007/s10701-017-0089-0	Linnaeus University	Foundations of Physics	Physics	0015-9018	1572-9516	2017
10.1007/s12671-017-0711-4	Halmstad University	Mindfulness	Psychology	1868-8527	1868-8535	2017
10.1007/s00441-017-2626-8	Karolinska Institute	Cell and Tissue Research	Biomedicine	0302-766X	1432-0878	2017
10.1007/s11294-017-9637-9	Umea University	International Advances in Economic Research	Economics	1083-0898	1573-966X	2017
10.1140/epjst/e2016-60316-9	Lund University	The European Physical Journal Special Topics	Physics	1951-6355	1951-6401	2017
10.1007/s10838-017-9364-1	University of Gothenburg	Journal for General Philosophy of Science	Philosophy	0925-4560	1572-8587	2017
10.1007/s00011-017-1062-2	Lund University	Inflammation Research	Biomedicine	1023-3830	1420-908X	2017
10.1007/s00033-017-0823-7	Linköping University	Zeitschrift für angewandte Mathematik und Physik	Engineering	0044-2275	1420-9039	2017
10.1007/s00125-017-4341-0	Lund University	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2017
10.1007/s00127-017-1409-6	Karolinska Institute	Social Psychiatry and Psychiatric Epidemiology	Medicine & Public Health	0933-7954	1433-9285	2017
10.1007/s00148-017-0651-2	Uppsala University	Journal of Population Economics	Economics	0933-1433	1432-1475	2017
10.1007/s00167-017-4592-9	University of Gothenburg	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2017
10.1007/s00167-017-4606-7	Karolinska Institute	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2017
10.1007/s00170-017-0610-9	Royal Institute of Technology	The International Journal of Advanced Manufacturing Technology	Engineering	0268-3768	1433-3015	2017
10.1007/s00192-017-3392-6	Linköping University	International Urogynecology Journal	Medicine & Public Health	0937-3462	1433-3023	2017
10.1007/s00216-017-0429-0	Umea University	Analytical and Bioanalytical Chemistry	Chemistry	1618-2642	1618-2650	2017
10.1007/s00220-017-2926-6	Chalmers University of Technology	Communications in Mathematical Physics	Physics	0010-3616	1432-0916	2017
10.1007/s00221-017-4993-5	Lund University	Experimental Brain Research	Biomedicine	0014-4819	1432-1106	2017
10.1007/s00240-017-0994-x	Örebro University	Urolithiasis	Medicine & Public Health	2194-7228	2194-7236	2017
10.1007/s00262-017-2029-4	Karolinska Institute	"Cancer Immunology, Immunotherapy"	Medicine & Public Health	0340-7004	1432-0851	2017
10.1007/s00268-017-4029-0	Karolinska Institute	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2017
10.1007/s00280-017-3366-x	Uppsala University	Cancer Chemotherapy and Pharmacology	Medicine & Public Health	0344-5704	1432-0843	2017
10.1007/s00284-017-1276-0	Swedish University of Agricultural Sciences	Current Microbiology	Life Sciences	0343-8651	1432-0991	2017
10.1007/s00285-017-1147-0	Stockholm University	Journal of Mathematical Biology	Mathematics	0303-6812	1432-1416	2017
10.1007/s00285-017-1154-1	Chalmers University of Technology	Journal of Mathematical Biology	Mathematics	0303-6812	1432-1416	2017
10.1007/s00330-017-4852-6	Örebro University	European Radiology	Medicine & Public Health	0938-7994	1432-1084	2017
10.1007/s00420-017-1233-z	Uppsala University	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2017
10.1007/s00420-017-1234-y	University of Gothenburg	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2017
10.1007/s00421-017-3621-1	Dalarna University	European Journal of Applied Physiology	Biomedicine	1439-6319	1439-6327	2017
10.1007/s00439-017-1816-5	Uppsala University	Human Genetics	Biomedicine	0340-6717	1432-1203	2017
10.1007/s00455-017-9814-2	University of Gothenburg	Dysphagia	Medicine & Public Health	0179-051X	1432-0460	2017
10.1007/s00464-017-5641-7	Umea University	Surgical Endoscopy	Medicine & Public Health	0930-2794	1432-2218	2017
10.1007/s00466-017-1426-z	Chalmers University of Technology	Computational Mechanics	Engineering	0178-7675	1432-0924	2017
10.1007/s00466-017-1431-2	Jönköping University	Computational Mechanics	Engineering	0178-7675	1432-0924	2017
10.1007/s00484-017-1380-7	Lund University	International Journal of Biometeorology	Environment	0020-7128	1432-1254	2017
10.1007/s00601-017-1307-1	Chalmers University of Technology	Few-Body Systems	Physics	0177-7963	1432-5411	2017
10.1007/s00604-017-2306-0	Stockholm University	Microchimica Acta	Chemistry	0026-3672	1436-5073	2017
10.1007/s00606-017-1422-y	Swedish Museum of Natural History	Plant Systematics and Evolution	Life Sciences	0378-2697	2199-6881	2017
10.1007/s00702-017-1746-3	University of Gothenburg	Journal of Neural Transmission	Medicine & Public Health	0300-9564	1435-1463	2017
10.1007/s00769-017-1275-7	Linköping University	Accreditation and Quality Assurance	Chemistry	0949-1775	1432-0517	2017
10.1007/s10029-017-1624-9	Lund University	Hernia	Medicine & Public Health	1265-4906	1248-9204	2017
10.1007/s10040-017-1616-y	University of Gothenburg	Hydrogeology Journal	Earth Sciences	1431-2174	1435-0157	2017
10.1007/s10096-017-3016-6	Örebro University	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2017
10.1007/s10113-017-1169-6	Stockholm University	Regional Environmental Change	Environment	1436-3798	1436-378X	2017
10.1007/s10237-017-0925-3	Royal Institute of Technology	Biomechanics and Modeling in Mechanobiology	Engineering	1617-7959	1617-7940	2017
10.1007/s10334-017-0637-9	Lund University	"Magnetic Resonance Materials in Physics, Biology and Medicine"	Medicine & Public Health	0968-5243	1352-8661	2017
10.1007/s10470-017-1011-6	Lulea University of Technology	Analog Integrated Circuits and Signal Processing	Engineering	0925-1030	1573-1979	2017
10.1007/s10493-017-0145-7	Royal Institute of Technology	Experimental and Applied Acarology	Life Sciences	0168-8162	1572-9702	2017
10.1007/s10494-017-9823-0	Swedish Defence Research Agency	"Flow, Turbulence and Combustion"	Engineering	1386-6184	1573-1987	2017
10.1007/s10529-017-2371-9	Chalmers University of Technology	Biotechnology Letters	Life Sciences	0141-5492	1573-6776	2017
10.1007/s10532-017-9796-7	Linnaeus University	Biodegradation	Life Sciences	0923-9820	1572-9729	2017
10.1007/s10543-017-0666-9	Chalmers University of Technology	BIT Numerical Mathematics	Mathematics	0006-3835	1572-9125	2017
10.1007/s10549-017-4343-0	Lund University	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2017
10.1007/s10562-017-2083-8	Chalmers University of Technology	Catalysis Letters	Chemistry	1011-372X	1572-879X	2017
10.1007/s10570-017-1354-2	Lulea University of Technology	Cellulose	Chemistry	0969-0239	1572-882X	2017
10.1007/s10570-017-1370-2	Lund University	Cellulose	Chemistry	0969-0239	1572-882X	2017
10.1007/s10570-017-1387-6	Royal Institute of Technology	Cellulose	Chemistry	0969-0239	1572-882X	2017
10.1007/s10601-017-9270-5	Uppsala University	Constraints	Computer Science	1383-7133	1572-9354	2017
10.1007/s10639-017-9615-0	University of Gothenburg	Education and Information Technologies	Computer Science	1360-2357	1573-7608	2017
10.1007/s10640-017-0166-z	University of Gothenburg	Environmental and Resource Economics	Economics	0924-6460	1573-1502	2017
10.1007/s10654-017-0250-2	Karolinska Institute	European Journal of Epidemiology	Medicine & Public Health	0393-2990	1573-7284	2017
10.1007/s10654-017-0267-6	Uppsala University	European Journal of Epidemiology	Medicine & Public Health	0393-2990	1573-7284	2017
10.1007/s10654-017-0268-5	Karolinska Institute	European Journal of Epidemiology	Medicine & Public Health	0393-2990	1573-7284	2017
10.1007/s10658-017-1258-x	Swedish University of Agricultural Sciences	European Journal of Plant Pathology	Life Sciences	0929-1873	1573-8469	2017
10.1007/s10661-017-6064-6	Umea University	Environmental Monitoring and Assessment	Environment	0167-6369	1573-2959	2017
10.1007/s10687-017-0294-4	Chalmers University of Technology	Extremes	Statistics	1386-1999	1572-915X	2017
10.1007/s10705-017-9861-y	Chalmers University of Technology	Nutrient Cycling in Agroecosystems	Life Sciences	1385-1314	1573-0867	2017
10.1007/s10706-017-0285-x	Royal Institute of Technology	Geotechnical and Geological Engineering	Earth Sciences	0960-3182	1573-1529	2017
10.1007/s10730-017-9325-4	Örebro University	HEC Forum	Philosophy	0956-2737	1572-8498	2017
10.1007/s10798-017-9405-4	Royal Institute of Technology	International Journal of Technology and Design Education	Education	0957-7572	1573-1804	2017
10.1007/s10800-017-1100-3	University of Gothenburg	Journal of Applied Electrochemistry	Chemistry	0021-891X	1572-8838	2017
10.1007/s10811-017-1176-5	Royal Institute of Technology	Journal of Applied Phycology	Life Sciences	0921-8971	1573-5176	2017
10.1007/s10815-017-0989-0	Lund University	Journal of Assisted Reproduction and Genetics	Medicine & Public Health	1058-0468	1573-7330	2017
10.1007/s10877-017-0032-0	Karolinska Institute	Journal of Clinical Monitoring and Computing	Medicine & Public Health	1387-1307	1573-2614	2017
10.1007/s10877-017-0033-z	Lund University	Journal of Clinical Monitoring and Computing	Medicine & Public Health	1387-1307	1573-2614	2017
10.1007/s10933-017-9981-z	Umea University	Journal of Paleolimnology	Earth Sciences	0921-2728	1573-0417	2017
10.1007/s10955-017-1832-9	Uppsala University	Journal of Statistical Physics	Physics	0022-4715	1572-9613	2017
10.1007/s10955-017-1833-8	Chalmers University of Technology	Journal of Statistical Physics	Physics	0022-4715	1572-9613	2017
10.1007/s10961-017-9592-x	Royal Institute of Technology	The Journal of Technology Transfer	Business and Management	0892-9912	1573-7047	2017
10.1007/s10980-017-0544-5	Stockholm University	Landscape Ecology	Life Sciences	0921-2973	1572-9761	2017
10.1007/s10993-017-9439-1	Stockholm University	Language Policy	Linguistics	1568-4555	1573-1863	2017
10.1007/s11019-017-9783-0	Royal Institute of Technology	"Medicine, Health Care and Philosophy"	Philosophy	1386-7423	1572-8633	2017
10.1007/s11024-017-9329-x	University of Boras	Minerva	Social Sciences	0026-4695	1573-1871	2017
10.1007/s11040-017-9250-4	Royal Institute of Technology	"Mathematical Physics, Analysis and Geometry"	Physics	1385-0172	1572-9656	2017
10.1007/s11095-017-2188-1	Uppsala University	Pharmaceutical Research	Biomedicine	0724-8741	1573-904X	2017
10.1007/s11135-017-0525-4	Kristianstad University	Quality & Quantity	Social Sciences	0033-5177	1573-7845	2017
10.1007/s11136-017-1636-z	University of Gothenburg	Quality of Life Research	Medicine & Public Health	0962-9343	1573-2649	2017
10.1007/s11165-016-9594-y	Stockholm University	Research in Science Education	Education	0157-244X	1573-1898	2017
10.1007/s11165-016-9596-9	Kristianstad University	Research in Science Education	Education	0157-244X	1573-1898	2017
10.1007/s11187-017-9887-1	Stockholm University	Small Business Economics	Business and Management	0921-898X	1573-0913	2017
10.1007/s11229-017-1326-y	Uppsala University	Synthese	Philosophy	0039-7857	1573-0964	2017
10.1007/s11229-017-1472-2	Lund University	Synthese	Philosophy	0039-7857	1573-0964	2017
10.1007/s11241-017-9276-5	Mälardalen University	Real-Time Systems	Computer Science	0922-6443	1573-1383	2017
10.1007/s11241-017-9283-6	Mälardalen University	Real-Time Systems	Computer Science	0922-6443	1573-1383	2017
10.1007/s11241-017-9284-5	Lund University	Real-Time Systems	Computer Science	0922-6443	1573-1383	2017
10.1007/s11244-017-0813-1	Royal Institute of Technology	Topics in Catalysis	Chemistry	1022-5528	1572-9028	2017
10.1007/s11244-017-0817-x	Lund University	Topics in Catalysis	Chemistry	1022-5528	1572-9028	2017
10.1007/s11249-017-0876-y	Karlstad University	Tribology Letters	Materials Science	1023-8883	1573-2711	2017
10.1007/s11276-017-1546-6	Mälardalen University	Wireless Networks	Engineering	1022-0038	1572-8196	2017
10.1007/s11356-017-9300-2	Swedish University of Agricultural Sciences	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2017
10.1007/s11356-017-9508-1	Chalmers University of Technology	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2017
10.1007/s11367-017-1330-y	Chalmers University of Technology	The International Journal of Life Cycle Assessment	Environment	0948-3349	1614-7502	2017
10.1007/s11422-017-9817-1	Royal Institute of Technology	Cultural Studies of Science Education	Education	1871-1502	1871-1510	2017
10.1007/s11625-017-0445-1	Stockholm University	Sustainability Science	Environment	1862-4065	1862-4057	2017
10.1007/s11947-017-1936-x	Lund University	Food and Bioprocess Technology	Chemistry	1935-5130	1935-5149	2017
10.1007/s11998-017-9937-2	Karlstad University	Journal of Coatings Technology and Research	Materials Science	1547-0091	1935-3804	2017
10.1007/s11998-017-9949-y	Royal Institute of Technology	Journal of Coatings Technology and Research	Materials Science	1547-0091	1935-3804	2017
10.1007/s12010-017-2525-1	University of Boras	Applied Biochemistry and Biotechnology	Chemistry	0273-2289	1559-0291	2017
10.1007/s12126-017-9296-4	Malmö University	Ageing International	Social Sciences	0163-5158	1936-606X	2017
10.1007/s12198-017-0178-5	Umea University	Journal of Transportation Security	Business and Management	1938-7741	1938-775X	2017
10.1007/s12220-017-9873-5	Chalmers University of Technology	The Journal of Geometric Analysis	Mathematics	1050-6926	1559-002X	2017
10.1007/s12526-017-0749-5	University of Gothenburg	Marine Biodiversity	Life Sciences	1867-1616	1867-1624	2017
10.1007/s12529-017-9669-9	Karolinska Institute	International Journal of Behavioral Medicine	Medicine & Public Health	1070-5503	1532-7558	2017
10.1007/s12549-017-0279-y	Swedish Museum of Natural History	Palaeobiodiversity and Palaeoenvironments	Earth Sciences	1867-1594	1867-1608	2017
10.1007/s12665-017-6753-z	Lulea University of Technology	Environmental Earth Sciences	Earth Sciences	1866-6280	1866-6299	2017
10.1007/s12975-017-0539-1	Lund University	Translational Stroke Research	Biomedicine	1868-4483	1868-601X	2017
10.1007/s13158-017-0192-6	University of Gothenburg	International Journal of Early Childhood	Education	0020-7187	1878-4658	2017
10.1007/s13158-017-0193-5	University of Gothenburg	International Journal of Early Childhood	Education	0020-7187	1878-4658	2017
10.1007/s13394-017-0211-9	Linnaeus University	Mathematics Education Research Journal	Education	1033-2170	2211-050X	2017
10.1007/s40194-017-0490-5	Royal Institute of Technology	Welding in the World	Materials Science	0043-2288	1878-6669	2017
10.1007/s40194-017-0496-z	Royal Institute of Technology	Welding in the World	Materials Science	0043-2288	1878-6669	2017
10.1007/s40265-017-0777-2	Karolinska Institute	Drugs	Medicine & Public Health	0012-6667	1179-1950	2017
10.1007/s40926-017-0061-2	Södertörn University	Philosophy of Management	Philosophy	1740-3812	2052-9597	2017
10.1007/s40926-017-0065-y	Stockholm School of Economics	Philosophy of Management	Philosophy	1740-3812	2052-9597	2017
10.1007/s41111-017-0068-9	University of Gothenburg	Chinese Political Science Review	Political Science and International Relations	2365-4244	2365-4252	2017
10.1007/s41651-017-0001-7	Linköping University	Journal of Geovisualization and Spatial Analysis	Geography	2509-8810	2509-8829	2017
10.1140/epja/i2017-12324-4	Uppsala University	The European Physical Journal A	Physics	1434-6001	1434-601X	2017
10.1140/epjd/e2017-80102-2	Chalmers University of Technology	The European Physical Journal D	Physics	1434-6060	1434-6079	2017
10.1208/s12248-017-0109-1	Uppsala University	The AAPS Journal	Biomedicine		1550-7416	2017
10.1007/s00198-017-4099-8	University of Gothenburg	Osteoporosis International	Medicine & Public Health	0937-941X	1433-2965	2017
10.1007/s13402-017-0340-x	Karolinska Institute	Cellular Oncology	Biomedicine	2211-3428	2211-3436	2017
10.1007/s00429-017-1469-0	Stockholm University	Brain Structure and Function	Biomedicine	1863-2653	1863-2661	2017
10.1007/s00334-017-0628-9	Umea University	Vegetation History and Archaeobotany	Earth Sciences	0939-6314	1617-6278	2017
10.1007/s00520-017-3831-4	Linnaeus University	Supportive Care in Cancer	Medicine & Public Health	0941-4355	1433-7339	2017
10.1007/s40692-017-0088-3	Stockholm University	Journal of Computers in Education	Education	2197-9987	2197-9995	2017
10.1007/s00167-017-4621-8	Karolinska Institute	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2017
10.1007/s00251-017-1011-9	Karolinska Institute	Immunogenetics	Biomedicine	0093-7711	1432-1211	2017
10.1007/s12520-017-0518-1	Lund University	Archaeological and Anthropological Sciences	Earth Sciences	1866-9557	1866-9565	2017
10.1007/s11665-017-2816-2	Royal Institute of Technology	Journal of Materials Engineering and Performance	Materials Science	1059-9495	1544-1024	2017
10.1007/s11661-017-4212-9	Linköping University	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2017
10.1007/s11661-017-4214-7	Royal Institute of Technology	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2017
10.1007/s10851-017-0753-1	Lund University	Journal of Mathematical Imaging and Vision	Computer Science	0924-9907	1573-7683	2017
10.1007/s12640-017-9786-x	Karolinska Institute	Neurotoxicity Research	Biomedicine	1029-8428	1476-3524	2017
10.1007/s12117-017-9315-6	Stockholm University	Trends in Organized Crime	Criminology and Criminal Justice	1084-4791	1936-4830	2017
10.1007/s13361-017-1705-0	Lund University	Journal of The American Society for Mass Spectrometry	Chemistry	1044-0305	1879-1123	2017
10.1007/s40609-017-0089-1	University of Gothenburg	Global Social Welfare	Social Sciences		2196-8799	2017
10.1007/s10734-017-0168-3	Lund University	Higher Education	Education	0018-1560	1573-174X	2017
10.1007/s11024-017-9331-3	Royal Institute of Technology	Minerva	Social Sciences	0026-4695	1573-1871	2017
10.1007/s10570-017-1405-8	Lulea University of Technology	Cellulose	Chemistry	0969-0239	1572-882X	2017
10.1007/s10806-017-9664-9	Uppsala University	Journal of Agricultural and Environmental Ethics	Philosophy	1187-7863	1573-322X	2017
10.1007/s00586-017-5218-0	Karolinska Institute	European Spine Journal	Medicine & Public Health	0940-6719	1432-0932	2017
10.1007/s00500-017-2732-2	Lulea University of Technology	Soft Computing	Engineering	1432-7643	1433-7479	2017
10.1007/s00231-017-2087-3	Lulea University of Technology	Heat and Mass Transfer	Engineering	0947-7411	1432-1181	2017
10.1007/s11661-017-4207-6	Mid Sweden University	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2017
