institution;period;sek;doi;is_hybrid;publisher
slu;2021;14543,1;10.1371/journal.pone.0255569;FALSE;PLoS
slu;2021;15006,42;10.1371/journal.pone.0257564;FALSE;PLoS
slu;2021;15006,42;10.1371/journal.pone.0258211;FALSE;PLoS
slu;2021;8112;10.14214/sf.10460;FALSE;Finnish Society of Forest Science
slu;2021;16732,4;10.1530/EC-21-0045;FALSE;Bioscientifica
slu;2021;13303,68;10.3168/jdsc.2020-0064;TRUE;Elsevier
slu;2021;14671,8;10.3389/fagro.2021.698968;FALSE;Frontiers
slu;2021;6752,46;10.3389/fagro.2021.782686;FALSE;Frontiers
slu;2021;8880,3;10.3389/fanim.2021.725710;FALSE;Frontiers
slu;2021;8880,3;10.3389/fanim.2021.740778;FALSE;Frontiers
slu;2021;8880,3;10.3389/fanim.2021.753080;FALSE;Frontiers
slu;2021;8880,3;10.3389/fclim.2021.735880;FALSE;Frontiers
slu;2021;8880,3;10.3389/fclim.2021.766583;FALSE;Frontiers
slu;2021;19227,78;10.3389/fenrg.2021.568879;FALSE;Frontiers
slu;2021;19227,78;10.3389/fenrg.2021.740314;FALSE;Frontiers
slu;2021;19227,78;10.3389/fenvs.2021.630721;FALSE;Frontiers
slu;2021;19227,78;10.3389/fenvs.2021.631112;FALSE;Frontiers
slu;2021;19227,78;10.3389/fenvs.2021.668361;FALSE;Frontiers
slu;2021;19227,78;10.3389/fenvs.2021.668836;FALSE;Frontiers
slu;2021;19227,78;10.3389/fevo.2021.666069;FALSE;Frontiers
slu;2021;16018,86;10.3389/fevo.2021.795994;FALSE;Frontiers
slu;2021;19227,78;10.3389/fevo.2021.800057;FALSE;Frontiers
slu;2021;8880,3;10.3389/ffgc.2021.580514;FALSE;Frontiers
slu;2021;8880,3;10.3389/ffgc.2021.764495;FALSE;Frontiers
slu;2021;14671,8;10.3389/ffunb.2021.671270;FALSE;Frontiers
slu;2021;14671,8;10.3389/ffunb.2021.779337;FALSE;Frontiers
slu;2021;22779,9;10.3389/fgene.2021.661742;FALSE;Frontiers
slu;2021;22779,9;10.3389/fimmu.2021.677722;FALSE;Frontiers
slu;2021;22779,9;10.3389/fimmu.2021.725240;FALSE;Frontiers
slu;2021;22779,9;10.3389/fmars.2021.728569;FALSE;Frontiers
slu;2021;22779,9;10.3389/fmicb.2016.00911;FALSE;Frontiers
slu;2021;22779,9;10.3389/fmicb.2020.608086;FALSE;Frontiers
slu;2021;22779,9;10.3389/fmicb.2021.628373;FALSE;Frontiers
slu;2021;22779,9;10.3389/fmicb.2021.669937;FALSE;Frontiers
slu;2021;16447,86;10.3389/fmicb.2021.673128;FALSE;Frontiers
slu;2021;16731;10.3389/fmicb.2021.673218;FALSE;Frontiers
slu;2021;22779,9;10.3389/fmicb.2021.692845;FALSE;Frontiers
slu;2021;22779,9;10.3389/fmicb.2021.700256;FALSE;Frontiers
slu;2021;22779,9;10.3389/fmicb.2021.725021;FALSE;Frontiers
slu;2021;22779,9;10.3389/fmicb.2021.758758;FALSE;Frontiers
slu;2021;22779,9;10.3389/fnbeh.2021.643693;FALSE;Frontiers
slu;2021;22779,9;10.3389/fnbeh.2021.792035;FALSE;Frontiers
slu;2021;6409,26;10.3389/fnut.2021.674882;FALSE;Frontiers
slu;2021;22779,9;10.3389/fpls.2021.641969;FALSE;Frontiers
slu;2021;15186,6;10.3389/fpls.2021.665745;FALSE;Frontiers
slu;2021;25311;10.3389/fpls.2021.678959;FALSE;Frontiers
slu;2021;22779,9;10.3389/fpls.2021.680859;FALSE;Frontiers
slu;2021;22779,9;10.3389/fpls.2021.695867;FALSE;Frontiers
slu;2021;22779,9;10.3389/fpls.2021.704960;FALSE;Frontiers
slu;2021;22779,9;10.3389/fpls.2021.705006;FALSE;Frontiers
slu;2021;22779,9;10.3389/fpls.2021.710268;FALSE;Frontiers
slu;2021;22779,9;10.3389/fpls.2021.710707;FALSE;Frontiers
slu;2021;22779,9;10.3389/fpls.2021.710867;FALSE;Frontiers
slu;2021;22779,9;10.3389/fpls.2021.722795;FALSE;Frontiers
slu;2021;12655,5;10.3389/fpls.2021.735610;FALSE;Frontiers
slu;2021;22779,9;10.3389/fpls.2021.748750;FALSE;Frontiers
slu;2021;10124,4;10.3389/fpls.2021.799482;FALSE;Frontiers
slu;2021;22779,9;10.3389/fpsyg.2021.617814;FALSE;Frontiers
slu;2021;22779,9;10.3389/fpsyg.2021.667957;FALSE;Frontiers
slu;2021;7335,9;10.3389/frsc.2021.572423;FALSE;Frontiers
slu;2021;7335,9;10.3389/frsc.2021.582431;FALSE;Frontiers
slu;2021;7335,9;10.3389/frsc.2021.691951;FALSE;Frontiers
slu;2021;8880,3;10.3389/frwa.2021.683070;FALSE;Frontiers
slu;2021;7335,9;10.3389/fsufs.2021.665025;FALSE;Frontiers
slu;2021;25311;10.3389/fvets.2021.601386;FALSE;Frontiers
slu;2021;22779,9;10.3389/fvets.2021.642085;FALSE;Frontiers
slu;2021;14285,7;10.3389/fvets.2021.651978;FALSE;Frontiers
slu;2021;22779,9;10.3389/fvets.2021.691853;FALSE;Frontiers
slu;2021;25311;10.3389/fvets.2021.692031;FALSE;Frontiers
slu;2021;22779,9;10.3389/fvets.2021.695222;FALSE;Frontiers
slu;2021;22779,9;10.3389/fvets.2021.772589;FALSE;Frontiers
slu;2021;22779,9;10.3389/fvets.2021.798910;FALSE;Frontiers
slu;2021;22779,9;10.3389/fvets.2021.799619;FALSE;Frontiers
slu;2021;14601,6;10.3390/agriculture11100993;FALSE;MDPI
slu;2021;13161,72;10.3390/agriculture11111175;FALSE;MDPI
slu;2021;13161,72;10.3390/agriculture12010005;FALSE;MDPI
slu;2021;15199,86;10.3390/agronomy11020388;FALSE;MDPI
slu;2021;14804,4;10.3390/agronomy11040679;FALSE;MDPI
slu;2021;14804,4;10.3390/agronomy11081479;FALSE;MDPI
slu;2021;14196;10.3390/ani11020379;FALSE;MDPI
slu;2021;14601,6;10.3390/ani11020382;FALSE;MDPI
slu;2021;15199,86;10.3390/ani11020575;FALSE;MDPI
slu;2021;16426,8;10.3390/ani11030708;FALSE;MDPI
slu;2021;14946,36;10.3390/ani11030829;FALSE;MDPI
slu;2021;15534,48;10.3390/ani11040924;FALSE;MDPI
slu;2021;14834,82;10.3390/ani11040945;FALSE;MDPI
slu;2021;14804,4;10.3390/ani11061482;FALSE;MDPI
slu;2021;9126;10.3390/ani11061643;FALSE;MDPI
slu;2021;14804,4;10.3390/ani11061677;FALSE;MDPI
slu;2021;16426,8;10.3390/ani11071899;FALSE;MDPI
slu;2021;14804,4;10.3390/ani11082197;FALSE;MDPI
slu;2021;14804,4;10.3390/ani11082320;FALSE;MDPI
slu;2021;14804,4;10.3390/ani11092481;FALSE;MDPI
slu;2021;14804,4;10.3390/ani11092552;FALSE;MDPI
slu;2021;12340,38;10.3390/ani11102901;FALSE;MDPI
slu;2021;14804,4;10.3390/ani11102935;FALSE;MDPI
slu;2021;14804,4;10.3390/ani11113163;FALSE;MDPI
slu;2021;16426,8;10.3390/ani11113269;FALSE;MDPI
slu;2021;14804,4;10.3390/ani11113299;FALSE;MDPI
slu;2021;16426,8;10.3390/ani12010046;FALSE;MDPI
slu;2021;13547,04;10.3390/antibiotics10020129;FALSE;MDPI
slu;2021;16426,8;10.3390/antibiotics10030331;FALSE;MDPI
slu;2021;16457,22;10.3390/cells10081971;FALSE;MDPI
slu;2021;11519,04;10.3390/cli9060088;FALSE;MDPI
slu;2021;8223,54;10.3390/dairy2030027;FALSE;MDPI
slu;2021;15210;10.3390/en14040898;FALSE;MDPI
slu;2021;15240,42;10.3390/f12020159;FALSE;MDPI
slu;2021;15240,42;10.3390/f12020225;FALSE;MDPI
slu;2021;14804,4;10.3390/f12070897;FALSE;MDPI
slu;2021;14804,4;10.3390/f12111513;FALSE;MDPI
slu;2021;14804,4;10.3390/f12121656;FALSE;MDPI
slu;2021;11519,04;10.3390/f12121810;FALSE;MDPI
slu;2021;10515,18;10.3390/foods10020393;FALSE;MDPI
slu;2021;16457,22;10.3390/foods10050932;FALSE;MDPI
slu;2021;16457,22;10.3390/foods10081778;FALSE;MDPI
slu;2021;16457,22;10.3390/foods10112533;FALSE;MDPI
slu;2021;9136,14;10.3390/futuretransp1020014;FALSE;MDPI
slu;2021;8223,54;10.3390/futuretransp1030033;FALSE;MDPI
slu;2021;15128,88;10.3390/genes12010063;FALSE;MDPI
slu;2021;18252;10.3390/genes12030433;FALSE;MDPI
slu;2021;11519,04;10.3390/horticulturae7110484;FALSE;MDPI
slu;2021;8984,04;10.3390/ijerph182010963;FALSE;MDPI
slu;2021;16457,22;10.3390/ijms22126201;FALSE;MDPI
slu;2021;16457,22;10.3390/ijms222112033;FALSE;MDPI
slu;2021;13161,72;10.3390/insects12121119;FALSE;MDPI
slu;2021;16457,22;10.3390/microorganisms9071437;FALSE;MDPI
slu;2021;16457,22;10.3390/microorganisms9081675;FALSE;MDPI
slu;2021;16457,22;10.3390/microorganisms9122431;FALSE;MDPI
slu;2021;9136,14;10.3390/molecules26061717;FALSE;MDPI
slu;2021;13486,2;10.3390/plants10010174;FALSE;MDPI
slu;2021;13455,78;10.3390/plants10030443;FALSE;MDPI
slu;2021;14804,4;10.3390/plants10091817;FALSE;MDPI
slu;2021;16426,8;10.3390/plants10091914;FALSE;MDPI
slu;2021;14804,4;10.3390/plants10102212;FALSE;MDPI
slu;2021;14621,88;10.3390/polym13193267;FALSE;MDPI
slu;2021;14621,88;10.3390/pr9101810;FALSE;MDPI
slu;2021;18546,06;10.3390/rs13040720;FALSE;MDPI
slu;2021;11792,82;10.3390/su13020843;FALSE;MDPI
slu;2021;16426,8;10.3390/su13031158;FALSE;MDPI
slu;2021;15169,44;10.3390/su13042329;FALSE;MDPI
slu;2021;16041,48;10.3390/su13052488;FALSE;MDPI
slu;2021;15199,86;10.3390/su13052762;FALSE;MDPI
slu;2021;9866,22;10.3390/su13063328;FALSE;MDPI
slu;2021;15625,74;10.3390/su13063475;FALSE;MDPI
slu;2021;15625,74;10.3390/su13084502;FALSE;MDPI
slu;2021;15625,74;10.3390/su13105327;FALSE;MDPI
slu;2021;15625,74;10.3390/su13147628;FALSE;MDPI
slu;2021;15625,74;10.3390/su13169180;FALSE;MDPI
slu;2021;17339,4;10.3390/su131810182;FALSE;MDPI
slu;2021;17339,4;10.3390/su131810242;FALSE;MDPI
slu;2021;15625,74;10.3390/su132011285;FALSE;MDPI
slu;2021;17339,4;10.3390/su132112181;FALSE;MDPI
slu;2021;15625,74;10.3390/su132313354;FALSE;MDPI
slu;2021;15351,96;10.3390/toxins13110737;FALSE;MDPI
slu;2021;18495,36;10.3390/v13030364;FALSE;MDPI
slu;2021;18099,9;10.3390/v13112181;FALSE;MDPI
slu;2021;16609,32;10.3390/vaccines9030236;FALSE;MDPI
slu;2021;10140;10.3390/vetsci8030036;FALSE;MDPI
slu;2021;15210;10.3390/w13040410;FALSE;MDPI
slu;2021;16457,22;10.3390/w13081028;FALSE;MDPI
slu;2021;14196;10.3920 / JIFF2020.0157;TRUE;Wageningen Academic Publishers
slu;2021;14196;10.3920 / JIFF2021.0043;TRUE;Wageningen Academic Publishers
slu;2021;18252;10.3920 /CEP200088;TRUE;Wageningen Academic Publishers
slu;2021;21040,5;10.3920/CEP210019;TRUE;Wageningen Academic Publishers
slu;2021;10373,22;10.5194/bg-18-1321-2021;FALSE;Copernicus
slu;2021;12259,26;10.5194/hess-25-1411-2021;FALSE;Copernicus
slu;2021;17177,16;10.5194/soil-7-377-2021;FALSE;Copernicus
slu;2021;10081,5;10.5751/ES-12110-260111;FALSE;Resilience Alliance
slu;2021;10081,5;10.5751/ES-12882-270102;FALSE;Resilience Alliance
