doi	institution	journal_full_title	journal_discipline	journal_ISSN	journal_eISSN	year	publisher
10.1007/s10926-017-9752-8	uu	Journal of Occupational Rehabilitation	Medicine & Public Health	1053-0487	1573-3688	2018	Springer
10.1007/s10549-017-4639-0	ki	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2018	Springer
10.1007/s11307-017-1153-z	uu	Molecular Imaging and Biology	Medicine & Public Health	1536-1632	1860-2002	2018	Springer
10.1007/s10926-017-9751-9	ki	Journal of Occupational Rehabilitation	Medicine & Public Health	1053-0487	1573-3688	2018	Springer
10.1007/s11266-018-9954-5	gu	VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations	Social Sciences	0957-8765	1573-7888	2018	Springer
10.1007/s11116-017-9854-3	uu	Transportation	Economics	0049-4488	1572-9435	2018	Springer
10.1007/s40258-017-0369-z	lu	Applied Health Economics and Health Policy	Medicine & Public Health	1175-5652	1179-1896	2018	Springer
10.1007/s11044-018-9617-8	lu	Multibody System Dynamics	Engineering	1384-5640	1573-272X	2018	Springer
10.1007/s11019-018-9825-2	gu	"Medicine, Health Care and Philosophy"	Philosophy	1386-7423	1572-8633	2018	Springer
10.1007/s00269-018-0945-2	uu	Physics and Chemistry of Minerals	Earth Sciences	0342-1791	1432-2021	2018	Springer
10.1007/s11628-017-0359-0	kth	Service Business	Business and Management	1862-8516	1862-8508	2018	Springer
10.1007/s10096-018-3194-x	lu	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2018	Springer
10.1007/s00420-018-1291-x	su	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2018	Springer
10.1007/s10615-018-0653-x	ki	Clinical Social Work Journal	Psychology	0091-1674	1573-3343	2018	Springer
10.1007/s10750-017-3477-8	slu	Hydrobiologia	Life Sciences	0018-8158	1573-5117	2018	Springer
10.1007/s10967-017-5666-3	foi	Journal of Radioanalytical and Nuclear Chemistry	Chemistry	0236-5731	1588-2780	2018	Springer
10.1007/s10611-017-9753-8	hhs	"Crime, Law and Social Change"	Criminology and Criminal Justice	0925-4994	1573-0751	2018	Springer
10.1007/s10230-018-0515-3	lu	Mine Water and the Environment	Earth Sciences	1025-9112	1616-1068	2018	Springer
10.1007/s10701-017-0132-1	su	Foundations of Physics	Physics	0015-9018	1572-9516	2018	Springer
10.1007/s40271-017-0291-3	ki	The Patient - Patient-Centered Outcomes Research	Medicine & Public Health	1178-1653	1178-1661	2018	Springer
10.1007/s10570-018-1661-2	uu	Cellulose	Chemistry	0969-0239	1572-882X	2018	Springer
10.1007/s10758-018-9352-5	umu	"Technology, Knowledge and Learning"	Education	2211-1662	2211-1670	2018	Springer
10.1007/s00227-017-3279-6	su	Marine Biology	Environment	0025-3162	1432-1793	2018	Springer
10.1007/s11628-018-0361-1	sh	Service Business	Business and Management	1862-8516	1862-8508	2018	Springer
10.1007/s10021-017-0217-x	umu	Ecosystems	Life Sciences	1432-9840	1435-0629	2018	Springer
10.1007/s10549-018-4664-7	lu	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2018	Springer
10.1007/s40474-018-0129-2	hj	Current Developmental Disorders Reports	Medicine & Public Health		2196-2987	2018	Springer
10.1007/s10654-018-0360-5	ki	European Journal of Epidemiology	Medicine & Public Health	0393-2990	1573-7284	2018	Springer
10.1007/s00431-017-3079-5	lu	European Journal of Pediatrics	Medicine & Public Health	0340-6199	1432-1076	2018	Springer
10.1007/s00384-018-2967-0	uu	International Journal of Colorectal Disease	Medicine & Public Health	0179-1958	1432-1262	2018	Springer
10.1007/s11239-017-1607-9	lu	Journal of Thrombosis and Thrombolysis	Medicine & Public Health	0929-5305	1573-742X	2018	Springer
10.1007/s10549-018-4663-8	ki	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2018	Springer
10.1007/s12198-018-0186-0	hb	Journal of Transportation Security	Business and Management	1938-7741	1938-775X	2018	Springer
10.1007/s11227-018-2238-4	kth	The Journal of Supercomputing	Computer Science	0920-8542	1573-0484	2018	Springer
10.1007/s10067-018-3983-8	lu	Clinical Rheumatology	Medicine & Public Health	0770-3198	1434-9949	2018	Springer
10.1007/s11010-017-3261-0	uu	Molecular and Cellular Biochemistry	Life Sciences	0300-8177	1573-4919	2018	Springer
10.1007/s10646-017-1880-6	lu	Ecotoxicology	Environment	0963-9292	1573-3017	2018	Springer
10.1007/s11116-017-9853-4	vti	Transportation	Economics	0049-4488	1572-9435	2018	Springer
10.1007/s00027-018-0565-4	slu	Aquatic Sciences	Life Sciences	1015-1621	1420-9055	2018	Springer
10.1007/s13164-017-0379-7	lu	Review of Philosophy and Psychology	Philosophy	1878-5158	1878-5166	2018	Springer
10.1007/s10456-018-9594-9	liu	Angiogenesis	Biomedicine	0969-6970	1573-7209	2018	Springer
10.1007/s10460-018-9851-y	lu	Agriculture and Human Values	Philosophy	0889-048X	1572-8366	2018	Springer
10.1007/s00198-017-4363-y	gu	Osteoporosis International	Medicine & Public Health	0937-941X	1433-2965	2018	Springer
10.1007/s11212-018-9298-0	uu	Studies in East European Thought	Philosophy	0925-9392	1573-0948	2018	Springer
10.1007/s40430-018-1036-5	hv	Journal of the Brazilian Society of Mechanical Sciences and Engineering	Engineering	1678-5878	1806-3691	2018	Springer
10.1007/s12076-017-0200-3	ltu	Letters in Spatial and Resource Sciences	Economics	1864-4031	1864-404X	2018	Springer
10.1007/s11469-017-9866-4	ki	International Journal of Mental Health and Addiction	Medicine & Public Health	1557-1874	1557-1882	2018	Springer
10.1007/s11664-017-6023-6	uu	Journal of Electronic Materials	Materials Science	0361-5235	1543-186X	2018	Springer
10.1007/s10921-017-0457-x	lu	Journal of Nondestructive Evaluation	Engineering	0195-9298	1573-4862	2018	Springer
10.1007/s10901-017-9588-8	cth	Journal of Housing and the Built Environment	Social Sciences	1566-4910	1573-7772	2018	Springer
10.1007/s11005-017-1042-z	liu	Letters in Mathematical Physics	Physics	0377-9017	1573-0530	2018	Springer
10.1007/s00330-017-5113-4	liu	European Radiology	Medicine & Public Health	0938-7994	1432-1084	2018	Springer
10.1007/s00256-018-2878-8	ki	Skeletal Radiology	Medicine & Public Health	0364-2348	1432-2161	2018	Springer
10.1007/s12665-017-7213-5	lu	Environmental Earth Sciences	Earth Sciences	1866-6280	1866-6299	2018	Springer
10.1007/s11657-018-0420-1	umu	Archives of Osteoporosis	Medicine & Public Health	1862-3522	1862-3514	2018	Springer
10.3758/s13415-018-0562-z	su	"Cognitive, Affective, & Behavioral Neuroscience"	Psychology	1530-7026	1531-135X	2018	Springer
10.1007/s11158-018-9393-6	mau	Res Publica	Philosophy	1356-4765	1572-8692	2018	Springer
10.1007/s00253-017-8706-6	slu	Applied Microbiology and Biotechnology	Life Sciences	0175-7598	1432-0614	2018	Springer
10.1007/s00330-017-5242-9	oru	European Radiology	Medicine & Public Health	0938-7994	1432-1084	2018	Springer
10.1007/s00423-017-1647-9	lu	Langenbeck's Archives of Surgery	Medicine & Public Health	1435-2443	1435-2451	2018	Springer
10.1007/s00199-018-1100-5	su	Economic Theory	Economics	0938-2259	1432-0479	2018	Springer
10.1007/s10915-017-0637-y	uu	Journal of Scientific Computing	Mathematics	0885-7474	1573-7691	2018	Springer
10.1007/s10964-017-0795-0	oru	Journal of Youth and Adolescence	Psychology	0047-2891	1573-6601	2018	Springer
10.1007/s11886-018-0947-1	ki	Current Cardiology Reports	Medicine & Public Health	1523-3782	1534-3170	2018	Springer
10.1007/s40812-017-0085-6	umu	Economia e Politica Industriale	Economics	0391-2078	1972-4977	2018	Springer
10.1007/s10784-017-9383-8	lu	"International Environmental Agreements: Politics, Law and Economics"	Environment	1567-9764	1573-1553	2018	Springer
10.1007/s10509-017-3233-6	ltu	Astrophysics and Space Science	Physics	0004-640X	1572-946X	2018	Springer
10.1007/s00208-018-1647-2	su	Mathematische Annalen	Mathematics	0025-5831	1432-1807	2018	Springer
10.1007/s10021-017-0213-1	lu	Ecosystems	Life Sciences	1432-9840	1435-0629	2018	Springer
10.1007/s12035-018-0887-1	ki	Molecular Neurobiology	Biomedicine	0893-7648	1559-1182	2018	Springer
10.1007/s10910-017-0852-7	ki	Journal of Mathematical Chemistry	Chemistry	0259-9791	1572-8897	2018	Springer
10.1140/epja/i2018-12447-0	uu	The European Physical Journal A	Physics	1434-6001	1434-601X	2018	Springer
10.1140/epje/i2018-11615-x	uu	The European Physical Journal E	Physics	1292-8941	1292-895X	2018	Springer
10.1007/s10708-017-9836-1	sh	GeoJournal	Social Sciences	0343-2521	1572-9893	2018	Springer
10.1007/s11043-018-9382-3	uu	Mechanics of Time-Dependent Materials	Engineering	1385-2000	1573-2738	2018	Springer
10.1007/s10404-018-2046-4	liu	Microfluidics and Nanofluidics	Engineering	1613-4982	1613-4990	2018	Springer
10.1007/s11356-018-1447-y	uu	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018	Springer
10.1007/s13593-018-0489-3	slu	Agronomy for Sustainable Development	Life Sciences	1774-0746	1773-0155	2018	Springer
10.1007/s00702-018-1854-8	uu	Journal of Neural Transmission	Medicine & Public Health	0300-9564	1435-1463	2018	Springer
10.1007/s00268-018-4492-2	lu	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2018	Springer
10.1007/s40263-018-0495-7	liu	CNS Drugs	Medicine & Public Health	1172-7047	1179-1934	2018	Springer
10.1007/s10750-018-3553-8	umu	Hydrobiologia	Life Sciences	0018-8158	1573-5117	2018	Springer
10.1007/s40778-018-0118-8	ki	Current Stem Cell Reports	Life Sciences		2198-7866	2018	Springer
10.1007/s00268-018-4498-9	ki	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2018	Springer
10.1007/s41063-018-0037-z	lu	arktos	Earth Sciences	2364-9453	2364-9461	2018	Springer
10.1007/s10551-018-3828-z	Stockholm School of Economics	Journal of Business Ethics	Philosophy	0167-4544	1573-0697	2018	Springer
10.1007/s13280-018-1037-8	gu	Ambio	Environment	0044-7447	1654-7209	2018	Springer
10.1007/s00228-018-2429-1	ki	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018	Springer
10.1007/s40368-018-0332-1	ki	European Archives of Paediatric Dentistry	Dentistry	1818-6300	1996-9805	2018	Springer
10.1007/s00787-018-1119-y	ki	European Child & Adolescent Psychiatry	Medicine & Public Health	1018-8827	1435-165X	2018	Springer
10.1007/s11934-018-0750-y	lu	Current Urology Reports	Medicine & Public Health	1527-2737	1534-6285	2018	Springer
10.1007/s10997-018-9404-1	mdh	Journal of Management and Governance	Business and Management	1385-3457	1572-963X	2018	Springer
10.1007/s00702-018-1847-7	ki	Journal of Neural Transmission	Medicine & Public Health	0300-9564	1435-1463	2018	Springer
10.1007/s40618-017-0818-4	gu	Journal of Endocrinological Investigation	Medicine & Public Health		1720-8386	2018	Springer
10.1007/s00268-018-4552-7	lu	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2018	Springer
10.1007/s11024-018-9348-2	uu	Minerva	Social Sciences	0026-4695	1573-1871	2018	Springer
10.1007/s10950-018-9734-0	uu	Journal of Seismology	Earth Sciences	1383-4649	1573-157X	2018	Springer
10.1007/s10456-018-9604-y	liu	Angiogenesis	Biomedicine	0969-6970	1573-7209	2018	Springer
10.1007/s10933-018-0020-5	umu	Journal of Paleolimnology	Earth Sciences	0921-2728	1573-0417	2018	Springer
10.1007/s00586-018-5507-2	ki	European Spine Journal	Medicine & Public Health	0940-6719	1432-0932	2018	Springer
10.1007/s10344-018-1171-4	slu	European Journal of Wildlife Research	Life Sciences	1612-4642	1439-0574	2018	Springer
10.1007/s10340-018-0965-1	lu	Journal of Pest Science	Life Sciences	1612-4758	1612-4766	2018	Springer
10.1007/s00208-018-1654-3	kth	Mathematische Annalen	Mathematics	0025-5831	1432-1807	2018	Springer
10.1007/s00228-018-2432-6	ki	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2018	Springer
10.1007/s11356-018-1463-y	slu	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018	Springer
10.1007/s00167-018-4857-y	ki	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018	Springer
10.1007/s10762-018-0470-x	uu	"Journal of Infrared, Millimeter, and Terahertz Waves"	Engineering	1866-6892	1866-6906	2018	Springer
10.1007/s10926-018-9759-9	liu	Journal of Occupational Rehabilitation	Medicine & Public Health	1053-0487	1573-3688	2018	Springer
10.1007/s11663-018-1196-9	kth	Metallurgical and Materials Transactions B	Materials Science	1073-5615	1543-1916	2018	Springer
10.1007/s11307-018-1168-0	ki	Molecular Imaging and Biology	Medicine & Public Health	1536-1632	1860-2002	2018	Springer
10.1007/s11067-017-9375-9	uu	Networks and Spatial Economics	Economics	1566-113X	1572-9427	2018	Springer
10.1007/s10803-018-3482-4	ki	Journal of Autism and Developmental Disorders	Psychology	0162-3257	1573-3432	2018	Springer
10.1007/s10549-018-4690-5	ki	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2018	Springer
10.1007/s10663-018-9399-5	bth	Empirica	Economics	0340-8744	1573-6911	2018	Springer
10.1007/s11661-018-4497-3	kth	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2018	Springer
10.1007/s11930-018-0139-4	mau	Current Sexual Health Reports	Medicine & Public Health	1548-3584	1548-3592	2018	Springer
10.1007/s40831-018-0157-5	ltu	Journal of Sustainable Metallurgy	Environment	2199-3823	2199-3831	2018	Springer
10.1007/s10967-018-5757-9	slu	Journal of Radioanalytical and Nuclear Chemistry	Chemistry	0236-5731	1588-2780	2018	Springer
10.1007/s11225-018-9785-9	su	Studia Logica	Philosophy	0039-3215	1572-8730	2018	Springer
10.1007/s00415-018-8786-y	gu	Journal of Neurology	Medicine & Public Health	0340-5354	1432-1459	2018	Springer
10.1007/s00167-018-4846-1	liu	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018	Springer
10.1007/s00167-018-4865-y	liu	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018	Springer
10.1007/s00330-017-5297-7	lu	European Radiology	Medicine & Public Health	0938-7994	1432-1084	2018	Springer
10.1007/s00167-018-4845-2	gu	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2018	Springer
10.1007/s00366-018-0589-3	cth	Engineering with Computers	Computer Science	0177-0667	1435-5663	2018	Springer
10.1007/s00203-018-1498-y	slu	Archives of Microbiology	Life Sciences	0302-8933	1432-072X	2018	Springer
10.1007/s00894-018-3585-z	hb	Journal of Molecular Modeling	Chemistry	1610-2940	0948-5023	2018	Springer
10.1007/s10934-018-0568-5	ltu	Journal of Porous Materials	Chemistry	1380-2224	1573-4854	2018	Springer
10.1007/s00232-018-0022-2	kth	The Journal of Membrane Biology	Life Sciences	0022-2631	1432-1424	2018	Springer
10.1007/s11665-018-3205-1	kth	Journal of Materials Engineering and Performance	Materials Science	1059-9495	1544-1024	2018	Springer
10.1007/s10694-018-0706-2	lu	Fire Technology	Engineering	0015-2684	1572-8099	2018	Springer
10.1007/s40879-018-0216-2	kth	European Journal of Mathematics	Mathematics	2199-675X	2199-6768	2018	Springer
10.1007/s40266-017-0509-z	ki	Drugs & Aging	Medicine & Public Health	1170-229X	1179-1969	2018	Springer
10.1007/s11104-018-3579-8	uu	Plant and Soil	Life Sciences	0032-079X	1573-5036	2018	Springer
10.1007/s00269-018-0953-2	uu	Physics and Chemistry of Minerals	Earth Sciences	0342-1791	1432-2021	2018	Springer
10.1007/s00213-018-4864-1	umu	Psychopharmacology	Biomedicine	0033-3158	1432-2072	2018	Springer
10.1007/s11095-017-2327-8	uu	Pharmaceutical Research	Biomedicine	0724-8741	1573-904X	2018	Springer
10.1007/s41651-017-0009-z	hig	Journal of Geovisualization and Spatial Analysis	Geography	2509-8810	2509-8829	2018	Springer
10.1007/s40572-018-0175-2	lu	Current Environmental Health Reports	Biomedicine		2196-5412	2018	Springer
10.1007/s11258-018-0811-9	slu	Plant Ecology	Life Sciences	1385-0237	1573-5052	2018	Springer
10.1007/s00415-018-8764-4	ki	Journal of Neurology	Medicine & Public Health	0340-5354	1432-1459	2018	Springer
10.1007/s00125-018-4572-8	ki	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2018	Springer
10.1007/s00068-018-0921-z	oru	European Journal of Trauma and Emergency Surgery	Medicine & Public Health	1863-9933	1863-9941	2018	Springer
10.1007/s00787-018-1124-1	ki	European Child & Adolescent Psychiatry	Medicine & Public Health	1018-8827	1435-165X	2018	Springer
10.1007/s00127-018-1491-4	ki	Social Psychiatry and Psychiatric Epidemiology	Medicine & Public Health	0933-7954	1433-9285	2018	Springer
10.1007/s10854-017-8443-8	cth	Journal of Materials Science: Materials in Electronics	Materials Science	0957-4522	1573-482X	2018	Springer
10.1007/s10021-018-0233-5	umu	Ecosystems	Life Sciences	1432-9840	1435-0629	2018	Springer
10.1007/s10597-018-0245-9	su	Community Mental Health Journal	Medicine & Public Health	0010-3853	1573-2789	2018	Springer
10.1007/s10508-017-1106-2	ki	Archives of Sexual Behavior	Psychology	0004-0002	1573-2800	2018	Springer
10.1007/s10915-018-0667-0	liu	Journal of Scientific Computing	Mathematics	0885-7474	1573-7691	2018	Springer
10.1007/s10266-018-0342-9	gu	Odontology	Dentistry	1618-1247	1618-1255	2018	Springer
10.1007/s41347-018-0044-8	mdh	Journal of Technology in Behavioral Science	Psychology		2366-5963	2018	Springer
10.1007/s10494-018-9891-9	kth	"Flow, Turbulence and Combustion"	Engineering	1386-6184	1573-1987	2018	Springer
10.1007/s10570-018-1695-5	kth	Cellulose	Chemistry	0969-0239	1572-882X	2018	Springer
10.1007/s10457-018-0208-8	oru	Agroforestry Systems	Life Sciences	0167-4366	1572-9680	2018	Springer
10.1007/s00251-017-1051-1	uu	Immunogenetics	Biomedicine	0093-7711	1432-1211	2018	Springer
10.1007/s00383-018-4237-1	ki	Pediatric Surgery International	Medicine & Public Health	0179-0358	1437-9813	2018	Springer
10.1007/s00441-017-2780-z	uu	Cell and Tissue Research	Biomedicine	0302-766X	1432-0878	2018	Springer
10.1007/s11356-018-1419-2	liu	Environmental Science and Pollution Research	Environment	0944-1344	1614-7499	2018	Springer
10.1007/s00420-018-1292-9	hj	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2018	Springer
10.1007/s00226-018-0993-2	hb	Wood Science and Technology	Life Sciences	0043-7719	1432-5225	2018	Springer
10.1007/s13563-018-0150-2	ltu	Mineral Economics	Economics	2191-2203	2191-2211	2018	Springer
10.1007/s00429-018-1622-4	ki	Brain Structure and Function	Biomedicine	1863-2653	1863-2661	2018	Springer
10.1007/s00170-018-1673-y	lu	The International Journal of Advanced Manufacturing Technology	Engineering	0268-3768	1433-3015	2018	Springer
10.1007/s00163-018-0283-x	ltu	Research in Engineering Design	Engineering	0934-9839	1435-6066	2018	Springer
10.1007/s10461-018-2041-5	ki	AIDS and Behavior	Medicine & Public Health	1090-7165	1573-3254	2018	Springer
10.1007/s10687-018-0311-2	lu	Extremes	Statistics	1386-1999	1572-915X	2018	Springer
10.1007/s11266-018-9971-4	liu	VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations	Social Sciences	0957-8765	1573-7888	2018	Springer
10.1007/s11252-018-0732-3	slu	Urban Ecosystems	Life Sciences	1083-8155	1573-1642	2018	Springer
10.1007/s00704-018-2411-y	cth	Theoretical and Applied Climatology	Earth Sciences	0177-798X	1434-4483	2018	Springer
10.1007/s00038-017-1074-2	uu	International Journal of Public Health	Medicine & Public Health	1661-8556	1661-8564	2018	Springer
10.1007/s11096-018-0598-8	lu	International Journal of Clinical Pharmacy	Medicine & Public Health	2210-7703	2210-7711	2018	Springer
10.1007/s13158-018-0210-3	sh	International Journal of Early Childhood	Education	0020-7187	1878-4658	2018	Springer
10.1007/s12652-018-0730-6	mdh	Journal of Ambient Intelligence and Humanized Computing	Engineering	1868-5137	1868-5145	2018	Springer
10.1007/s00441-018-2793-2	uu	Cell and Tissue Research	Biomedicine	0302-766X	1432-0878	2018	Springer
10.1007/s00198-017-4367-7	umu	Osteoporosis International	Medicine & Public Health	0937-941X	1433-2965	2018	Springer
10.1007/s10803-018-3470-8	uu	Journal of Autism and Developmental Disorders	Psychology	0162-3257	1573-3432	2018	Springer
10.1007/s11116-018-9860-0	kth	Transportation	Economics	0049-4488	1572-9435	2018	Springer
10.1007/s10801-018-0816-4	mittagleffler	Journal of Algebraic Combinatorics	Mathematics	0925-9899	1572-9192	2018	Springer
10.1007/s40520-018-0905-1	oru	Aging Clinical and Experimental Research	Medicine & Public Health		1720-8319	2018	Springer
10.1007/s00018-018-2773-4	gu	Cellular and Molecular Life Sciences	Life Sciences	1420-682X	1420-9071	2018	Springer
10.1007/s10157-018-1543-9	lu	Clinical and Experimental Nephrology	Medicine & Public Health	1342-1751	1437-7799	2018	Springer
10.1140/epjp/i2018-11865-7	su	The European Physical Journal Plus	Physics		2190-5444	2018	Springer
10.1007/s10570-018-1760-0	kth	Cellulose	Chemistry	0969-0239	1572-882X	2018	Springer
10.1007/s10584-018-2180-8	oru	Climatic Change	Earth Sciences	0165-0009	1573-1480	2018	Springer
10.1007/s10680-018-9483-3	su	European Journal of Population	Social Sciences	0168-6577	1572-9885	2018	Springer
10.1007/s11422-017-9851-z	umu	Cultural Studies of Science Education	Education	1871-1502	1871-1510	2018	Springer
10.1007/s10570-018-1751-1	su	Cellulose	Chemistry	0969-0239	1572-882X	2018	Springer
10.1007/s10680-018-9473-5	su	European Journal of Population	Social Sciences	0168-6577	1572-9885	2018	Springer
