institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url	Anmärkning
ltu	2018	735	10.1186/s13677-018-0123-6	FALSE	Springer Open	Journal of Cloud Computing - Advances, Systems and Applications			2192-113X	https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-018-0123-6	
ltu	2018	719	10.1061/(ASCE)CC.1943-5614.0000867	TRUE	American Society of Civil Engineers	Journal of composites for construction		1090-0268	1943-5614	https://ascelibrary.org/doi/10.1061/%28ASCE%29CC.1943-5614.0000867	
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=551039	
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=586463	
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=588431	
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=590399	
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=592367	
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=594335	
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=560879	
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=625823	
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=627791	
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=629759	
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=631727	
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=633695	
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=635663	
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=637631	
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=639599	
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=641567	
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=643535	
ltu	2018	2651	10.1016/j.jelekin.2018.07.001	TRUE	Elsevier	Journal of Electromyography & Kinesiology	1050-6411			https://www.sciencedirect.com/science/article/pii/S1050641118302128	
ltu	2018	244		FALSE	The International Association for Environmental Hydrology	Journal of Environmental Hydrology	1058-3912			http://www.hydroweb.com/journal-hydrology-2018-paper-6.html	
ltu	2018	366	10.11159/jffhmt.2018.002	FALSE	AVESTIA	Journal of Fluid Flow, Heat and Mass Transfer (JFFHMT)	2368-6111			https://jffhmt.avestia.com/2018/002.html#references	
ltu	2018	646	10.4236/jgis.2018.103013	FALSE	Scientific Research Publishing	Journal of Geographic Information System		2151-1950	2151-1969	https://www.scirp.org/journal/PaperInformation.aspx?PaperID=85336	
ltu	2018	2828	10.1016/j.jhydrol.2018.05.024	TRUE	Elsevier	Journal of Hydrology	0022-1694			https://www.sciencedirect.com/science/article/pii/S0022169418303500	
ltu	2018	1231	10.1186/s13660-018-1662-6	FALSE	SpringerOpen	Journal of inequalities and applications		1025-5834	1029-242X	https://journalofinequalitiesandapplications.springeropen.com/articles/10.1186/s13660-018-1662-6	
ltu	2018	2100	10.1111/jsbm.12499	TRUE	Wiley	Journal of small business management			1540-627X	https://onlinelibrary.wiley.com/doi/10.1111/jsbm.12499	
ltu	2018	2209	10.1016/j.jwpe.2018.02.005	TRUE	Elsevier	Journal of Water Process Engineering	2214-7144			https://www.sciencedirect.com/science/article/pii/S2214714417307985?via%3Dihub	
ltu	2018	281	10.3390/lubricants6010010	FALSE	MDPI AG	Lubricants	2075-4442			https://www.mdpi.com/2075-4442/6/1/10/htm	
ltu	2018	295	10.3390/lubricants6020039	FALSE	MDPI AG	Lubricants	2075-4442			https://www.mdpi.com/2075-4442/6/2/39/html	
ltu	2018	305	10.3390/lubricants6040097	FALSE	MDPI AG	Lubricants	2075-4442			https://www.mdpi.com/2075-4442/6/4/97/htm	
ltu	2018	1420	10.3390/ma11101860	FALSE	MDPI AG	Materials	1996-1944			https://www.mdpi.com/1996-1944/11/10/1860/htm	
ltu	2018	500	10.5281/zenodo.1297161	FALSE	University of Agean	Mediterranean Archaeology & Archaeometry		1108-9628	2241-8121	https://zenodo.org/record/1297161#.XP1lCyBS_IU	
ltu	2018	1067	10.3390/met8100760	FALSE	MDPI AG	Metals	2075-4701			https://www.mdpi.com/2075-4701/8/10/760/htm	
ltu	2018	1063	10.3390/met8121057	FALSE	MDPI AG	Metals	2075-4701			https://www.mdpi.com/2075-4701/8/12/1057/htm	
ltu	2018	2160	10.1016/j.micromeso.2018.11.007	TRUE	Elsevier	Microporous and Mesoporous Materials	1387-1811			https://www.sciencedirect.com/science/article/pii/S138718111830578X?via%3Dihub	
ltu	2018	1052	10.3390/min8110536	FALSE	MDPI AG	Minerals	2075-163X			https://www.mdpi.com/2075-163X/8/11/536/htm	
ltu	2018	839	10.3390/min8120561	FALSE	MDPI AG	Minerals	2075-163X			https://www.mdpi.com/2075-163X/8/12/561/htm	
ltu	2018	1403	10.3390/molecules23123052	FALSE	MDPI AG	Molecules	1420-3049			https://www.mdpi.com/1420-3049/23/12/3052/htm	
ltu	2018	1563	10.3390/molecules23030537	FALSE	MDPI AG	Molecules	1420-3049			https://www.mdpi.com/1420-3049/23/3/537/htm	
ltu	2018	1562	10.3390/molecules23071562	FALSE	MDPI AG	Molecules	1420-3049			https://www.mdpi.com/1420-3049/23/7/1562/htm	
ltu	2018	996	10.3390/molecules23071647	FALSE	MDPI AG	Molecules	1420-3049			https://www.mdpi.com/1420-3049/23/7/1647/htm	
ltu	2018	1600	10.3390/molecules23092403	FALSE	MDPI AG	Molecules	1420-3049			https://www.mdpi.com/1420-3049/23/9/2403/htm	
ltu	2018	491	10.4236/nr.2018.92003	FALSE	Scientific Research	Natural Resources		2158-706X  	2158-7086 	http://file.scirp.org/Html/1-2000786_82556.htm	
ltu	2018	486	10.1016/j.orp.2018.08.002	FALSE	Elsevier	Operations Research Perspectives	2214-7160			https://www.sciencedirect.com/science/article/pii/S2214716018300149	
ltu	2018	2209	10.1016/j.oregeorev.2018.04.010	TRUE	Elsevier	Ore Geology Reviews	0169-1368			https://www.sciencedirect.com/science/article/pii/S0169136817306479	
ltu	2018	1368	10.1371/journal.pone.0204212	FALSE	PLOS	PLoS ONE			1932-6203	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0204212	
ltu	2018	589	10.1039/C8RA08004F	FALSE	Royal Society of Chemistry	RSC Advances			2046-2069	https://pubs.rsc.org/en/content/articlelanding/2018/ra/c8ra08004f#!divAbstract	
ltu	2018	1370	10.1038/s41598-018-31310-y	FALSE	Nature Publishing Group	Scientific Reports			2045-2322	https://www.nature.com/articles/s41598-018-31310-y	
ltu	2018	1370	10.1038/s41598-018-33441-8	FALSE	Nature Publishing Group	Scientific Reports			2045-2322	https://www.nature.com/articles/s41598-018-33441-8	
ltu	2018	1440	10.3390/s18103238	FALSE	MDPI AG	Sensors	1424-8220			https://www.mdpi.com/1424-8220/18/10/3238/htm	
ltu	2018	1560	10.3390/s18030817	FALSE	MDPI AG	Sensors	1424-8220			https://www.mdpi.com/1424-8220/18/3/817/htm	
ltu	2018	1196	10.3390/su10010125	FALSE	MDPI AG	Sustainability	2071-1050			https://www.mdpi.com/2071-1050/10/1/125/htm	
ltu	2018	1184	10.3390/su10010022	FALSE	MDPI AG	Sustainability	2071-1050			https://www.mdpi.com/2071-1050/10/1/22/htm	
ltu	2018	1226	10.3390/su10103743	FALSE	MDPI AG	Sustainability	2071-1050			https://www.mdpi.com/2071-1050/10/10/3743/htm	
ltu	2018	1237	10.3390/su10124568	FALSE	MDPI AG	Sustainability	2071-1050			https://www.mdpi.com/2071-1050/10/12/4568/htm	
ltu	2018	782	10.3390/su10030683	FALSE	MDPI AG	Sustainability	2071-1050			https://www.mdpi.com/2071-1050/10/3/683/htm	
ltu	2018	1196	10.3390/su10040999	FALSE	MDPI AG	Sustainability	2071-1050			https://www.mdpi.com/2071-1050/10/4/999/htm	
ltu	2018	1207	10.3390/su10082799	FALSE	MDPI AG	Sustainability	2071-1050			https://www.mdpi.com/2071-1050/10/8/2799/htm	
ltu	2018	1060	10.1016/j.techfore.2018.10.010	TRUE	Elsevier	Technological forecasting & social change	0040-1625			https://www.sciencedirect.com/science/article/pii/S0040162518303809	
ltu	2018	712	10.21152/1750-9548.12.1.9	FALSE	Multiphysics	The International Journal of Multiphysics		1750-9548	2048-3961	http://journal.multiphysics.org/index.php/IJM/article/view/366	
ltu	2018	2500	10.1111/jpim.12482	TRUE	Wiley	The Journal of product innovation management			1540-5885	https://onlinelibrary.wiley.com/doi/10.1111/jpim.12482	
ltu	2018	2651	10.1016/j.triboint.2018.03.006	TRUE	Elsevier	Tribology International		0301-679X	1879-2464	https://www.sciencedirect.com/science/article/pii/S0301679X18301518?via%3Dihub	
ltu	2018	2590	10.1016/j.triboint.2018.11.015	TRUE	Elsevier	Tribology International	0301-679X			https://www.sciencedirect.com/science/article/pii/S0301679X18305553	
ltu	2018	2590	10.1016/j.triboint.2018.11.020	TRUE	Elsevier	Tribology International	0301-679X			https://www.sciencedirect.com/science/article/pii/S0301679X18305607	
ltu	2018	1180	10.3390/w10101424	FALSE	MDPI AG	Water	2073-4441			https://www.mdpi.com/2073-4441/10/10/1424/htm	
ltu	2018	1302	10.3390/w10070858	FALSE	MDPI AG	Water	2073-4441			https://www.mdpi.com/2073-4441/10/7/858/htm	
ltu	2018	1188	10.3390/w10091124	FALSE	MDPI AG	Water	2073-4441			https://www.mdpi.com/2073-4441/10/9/1124/htm	
ltu	2018	1185	10.3390/w10091138	FALSE	MDPI AG	Water	2073-4441			https://www.mdpi.com/2073-4441/10/9/1138/htm	
ltu	2018	1205	10.3390/w10091270	FALSE	MDPI AG	Water	2073-4441			https://www.mdpi.com/2073-4441/10/9/1270/htm	
ltu	2018	658	10.1175/WAF-D-18-0031.1	TRUE	American Meteorological Society	Weather and forecasting		0882-8156	1520-0434	https://journals.ametsoc.org/doi/10.1175/waf-d-18-0031.1	
